stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,21.03,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,9.44,0,0,0,3.15,0,0,0,0
 14-21,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,1,0,1,0,0
 24-34,0,0.82,0,0.82,0,0.82,0,0,0,0,0,12.31,0,0,0,0,0,1.64,0,0,0,6.57,0.82,0,0,0,0,0,0,0,1.64,2.46,0
 36-46,0,1.61,0,0,0,2.42,0,0,0,0,0,15.31,0,0.81,0,0,0,0.81,0,0,0,8.06,0.81,0,0,0,0.81,0,0,0,3.22,0,0
 48-58,0,1.15,0,0,0,4.59,0,0,1.72,0,0,25.82,0,0,0,0,0.57,2.3,2.3,0.57,1.15,5.16,0,0,0,0,0,0,0,0,0.57,0.57,0
 60-70,0,0.98,0,0,0,4.91,0,0.98,0,0,0,28.46,0.98,0,0,0.98,0.98,0,1.96,0.98,0,6.87,0,0,0,0,0,0,0,0,0,3.93,0
 72-82,0,0.98,0,0,0,3.93,0,0.98,1.96,0,0,60.86,0.98,0,0,0,0,2.94,2.94,0.98,0,8.83,2.94,0.98,0,0,0,0,0,0.98,0.98,1.96,0.98
 84-94,0,2.12,0,0,0,1.06,0,0,1.06,0,0,88.15,2.12,0,0,0,1.06,3.19,2.12,2.12,0,2.12,0,0,0,0,2.12,1.06,0,0,1.06,2.12,0
 96-106,0,2.19,0,1.09,1.09,1.09,0,1.09,1.09,0,0,112.56,1.09,1.09,0,0,0,4.37,5.46,1.09,1.09,6.56,3.28,1.09,0,1.09,0,0,0,0,0,3.28,0
108-118,0,1.53,0,0.77,0.77,3.06,0,0.77,2.3,0,0,63.57,1.53,0,0,0,0,1.53,0.77,1.53,0.77,5.36,2.3,0,0,0,0,0,0,0,0,6.89,0.77
120,0,1.96,0,0,1.96,3.92,1.96,0,0,5.88,0,88.19,1.96,0,1.96,0,0,0,3.92,0,0,3.92,3.92,0,0,0,0,0,1.96,0,0,1.96,0
