stage,eye,fin.epithelia,heart,ionocyte,mesenchyme,muscle,neural,olfactory,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,1,1,0,0,0,0,1,0,1
 24-34,0,0,0,0,0,0,2.46,0,0,0,0,0.82,0,0.82
 36-46,0,0,0,0,0,0,3.22,0,0,0,0,0.81,0,0
 48-58,1.72,0,0,0,0.57,0,2.3,0.57,0,0,0,0,0,0
 60-70,1.96,0,0,0,0,0,0.98,0,0,0,0,0.98,0.98,0.98
 72-82,0,0,0.98,0,0,0,3.93,0,0.98,0.98,0,0,0.98,0
 84-94,0,0,0,0,5.31,0,1.06,0,1.06,0,0,0,0,0
 96-106,2.19,1.09,0,0,1.09,1.09,1.09,2.19,0,0,0,0,1.09,2.19
108-118,0.77,0.77,0,0.77,2.3,0,3.06,1.53,0,0,0,0,0,0
120,0,0,0,0,0,0,1.96,0,0,0,1.96,0,0,0
