stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,13,0,0,6,0,0,0,6,0,1,0,0,0,0,0,0,0,3,61,0,0,0,1,0,0,0,2,0,17,38,28,0,0,2,0,0
 24-34,0,0,0,27.09,1.64,0,5.75,0,2.46,0,2.46,0.82,0,0,0,0,0,8.21,1.64,0,6.57,223.27,0,0,0,0,0,0,0,0,0.82,2.46,9.85,53.36,0,0,5.75,0,0
 36-46,0,0,0,8.86,0,0,23.36,0.81,3.22,0,20.95,0,0,1.61,0,0,0.81,9.67,1.61,0,2.42,503.54,0,0,0.81,0,0,1.61,0,0,0,4.83,0.81,103.13,0,0.81,8.86,0,0
 48-58,0,0,0,9.18,0,0,108.45,5.16,3.44,1.15,29.84,0.57,1.15,2.3,0,0,0.57,12.62,1.15,0.57,6.31,603.07,0,0.57,1.15,0.57,0.57,0.57,0,0,0,1.15,0,115.33,0,0,5.16,0,0.57
 60-70,0,0,0,10.8,0.98,0,231.64,9.82,3.93,0.98,43.19,0,2.94,1.96,0,0,0,27.48,0.98,0.98,3.93,849.02,0,0,0,0.98,0.98,2.94,0,0,0,5.89,0,137.41,0,0.98,4.91,0,0
 72-82,0,0,0,12.76,0.98,0,212.04,1.96,2.94,3.93,49.08,0.98,0.98,0.98,0,0,0,47.12,0.98,2.94,0.98,614.52,0,2.94,2.94,0,0,3.93,0,0,0,1.96,0,59.88,7.85,3.93,7.85,0.98,0.98
 84-94,0,0,0,20.18,1.06,0,162.49,6.37,7.43,1.06,36.11,1.06,1.06,12.74,1.06,1.06,0,31.86,3.19,1.06,5.31,286.75,1.06,1.06,2.12,0,0,4.25,0,0,1.06,6.37,0,36.11,29.74,3.19,7.43,2.12,0
 96-106,0,1.09,0,16.39,3.28,0,123.49,3.28,2.19,1.09,43.71,2.19,0,10.93,1.09,0,0,10.93,2.19,1.09,2.19,249.17,0,1.09,1.09,0,0,2.19,0,0,0,2.19,0,20.76,61.2,0,6.56,1.09,1.09
108-118,0,0,0,19.92,0.77,0,79.66,2.3,5.36,0.77,32.17,2.3,0,10.72,1.53,0.77,0,18.38,0,0.77,3.06,235.15,0,0.77,2.3,0,0,2.3,0,0,1.53,8.43,0,12.26,67.4,0.77,5.36,0.77,0
120,0,0,0,17.64,1.96,1.96,52.91,5.88,5.88,0,37.24,1.96,0,11.76,0,0,0,7.84,0,0,3.92,225.38,0,1.96,0,0,0,1.96,0,0,0,3.92,0,11.76,19.6,0,9.8,0,0
