stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,glial,heart,immune,lateral.line,mesenchyme,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,25.18,0,0,0,6.29,0,0,0,0
 14-21,0,0,0,1,0,16,0,0,0,0,9,0,1,2,0,0,8,39,0
 24-34,0,0,0,0.82,0,11.49,0,0,0,0,13.13,0.82,6.57,0.82,0,0,9.85,20.52,0
 36-46,0,0,0,0,0,5.64,0.81,0,0,0,9.67,0,12.89,0,0,0,1.61,23.36,0
 48-58,0,0,1.15,0,1.15,6.31,0,0,0,0,9.75,0,10.33,0.57,0,0,1.15,12.05,0
 60-70,0,0,0,0,0.98,8.83,0,0,0,0.98,15.7,0,11.78,3.93,0,0.98,0.98,8.83,0
 72-82,0,0,0,0,1.96,6.87,0,0,0,0,13.74,0,14.72,2.94,0,0,0,6.87,0
 84-94,0,1.06,0,0,3.19,8.5,0,0,1.06,1.06,12.74,0,15.93,4.25,0,0,1.06,10.62,0
 96-106,0,1.09,0,1.09,1.09,7.65,0,0,6.56,3.28,5.46,0,16.39,4.37,0,0,1.09,8.74,0
108-118,0,0,0,0,1.53,5.36,0,0.77,3.06,0.77,6.89,0,14.55,5.36,0,0.77,0.77,2.3,0.77
120,0,0,0,0,0,3.92,0,0,1.96,0,3.92,0,5.88,3.92,0,0,7.84,7.84,0
