stage,epidermis,erythrocytes,eye,gut,hatching.gland,immune,ionocyte,liver,mesenchyme,neural,olfactory,periderm,pronephros,spinal.cord,vasculature
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 14-21,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0
 24-34,0.82,0,0,0,0,17.24,0,0.82,0,0,0,0,0.82,0,0
 36-46,0.81,0,0.81,0,0,16.11,0,0,0,0.81,0.81,0,0,0,0.81
 48-58,1.15,0,0,0,0,27.54,0,0,0.57,1.72,0,0,0,0,0
 60-70,0,0,0,0,0,25.52,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0.98,0,0,29.45,0,0,0,1.96,0,0,0,0.98,0
 84-94,0,0,0,1.06,0,54.16,0,0,0,0,0,1.06,0,0,0
 96-106,0,1.09,0,0,0,68.85,1.09,0,0,0,0,0,0,0,0
108-118,0.77,0,0.77,0.77,0,53.62,0.77,0,0,0.77,0,0,0,0,0
120,0,0,0,0,0,47.03,0,0,0,0,1.96,1.96,0,0,0
