stage,blastomeres,epidermis,glial,lateral_line,mesenchyme,neural,otic,paraxial_mesoderm,slow_muscle,somites,spinal_cord
  7-9,0,0,0,0,0,0,0,2.63,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,2,0,0,1,1,1
 36-46,0,0.81,0,0,0,1.61,0,0,0,0,0
 48-58,0,0,0,0,0,2.3,0.57,0,0,0,0
 60-70,0,0.98,0,0.98,0,3.93,0.98,0,0,0,0.98
 72-82,0,0,0.98,0,0,1.96,0.98,0,0,0,0
 84-94,0,0,0,1.06,1.06,0,3.19,0,0,0,0
 96-106,0,0,0,1.09,0,1.09,1.09,0,0,0,0
108-118,0,0,0.77,0,0.77,0,3.06,0,0,0,0
120,0,0,0,3.92,0,0,0,0,0,0,0
