stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0
 24-34,0,0,0,0,0,1.64,0,0,4.93,0,0,0,0,0,0,0,0.82,0,0,0,1.64,0.82,0,0,0,0,0,4.93,0,0,0,0
 36-46,0,0,0,0,0,2.42,0,0,1.61,0,0.81,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0,0,0,4.03,0,0,0,0
 48-58,0,0.57,0,0,0,18.36,0,0,0.57,0,0,0,0,0,0.57,0,0.57,0,0.57,2.87,1.15,0,0,0,0,0,0,5.74,0,0,0,0.57
 60-70,0,0,0.98,0,0,70.67,0,0,1.96,0,0,0,0,0,0,0,3.93,0,0,5.89,0,0,0,0,0,0,0,3.93,0,0,0,1.96
 72-82,0,0,0,0,0,76.57,0,0,3.93,0,0,0,0,0,0,0,8.83,0,0,11.78,2.94,0,0,0.98,0,0,0,2.94,0,0.98,0.98,0.98
 84-94,0,0,3.19,0,0,170.99,0,0,0,0,0,0,0,0,0,1.06,5.31,0,1.06,6.37,0,0,0,1.06,0,0,1.06,3.19,0,0,0,0
 96-106,0,0,0,0,1.09,150.81,1.09,0,1.09,1.09,0,1.09,1.09,0,0,0,9.84,0,1.09,15.3,1.09,2.19,0,2.19,1.09,0,0,2.19,0,1.09,1.09,1.09
108-118,0,0,0.77,2.3,0.77,179.24,0,0.77,2.3,0,0,0.77,0,1.53,0.77,0,13.02,0.77,0.77,13.02,1.53,0,0,2.3,0,1.53,0,0,1.53,1.53,0,0
120,0,0,1.96,0,0,62.71,1.96,0,1.96,0,0,0,0,0,0,0,5.88,0,0,21.56,0,1.96,0,3.92,0,1.96,0,0,0,0,0,1.96
