stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.43,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,18.88,6.29,0,0,15.73,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,4,2,0,2,0,0,0,0,0,17,0,0,0,0,0,19,0,0,7,11,1,0,0,0,0,1,3,1,170,163,2,0,1,0,0
 24-34,0,0,0.82,0.82,4.1,0,0,0.82,5.75,0,0.82,0,0,9.85,0,0,0,0.82,0,2.46,0,0,11.49,25.45,0,0,0,0,0.82,0,0,0,74.7,104.25,8.21,0,3.28,0,0
 36-46,0,0,0,0,0,0,0,4.83,13.7,0.81,0,0,0,2.42,0,0.81,0,0,0.81,2.42,0,0,8.06,35.45,0,0,0,0,0.81,0.81,0,0,44.31,3.22,2.42,0,5.64,0,0.81
 48-58,0,0,0,0,0.57,0,0,8.03,12.05,0,1.72,0,0,1.15,0,0,0,0,0,4.02,0,0,9.18,19.51,0,0,0,0,0,0,0,0,22.38,0,4.02,0,4.59,0,0
 60-70,0,0,0,0,0.98,0,0,14.72,25.52,0,0.98,0,0,1.96,0,0,0,0,0.98,14.72,0,0,12.76,22.58,0,0,0,0.98,0,0,0,0,16.69,0,2.94,0,9.82,0,0
 72-82,0,0,0,0,0.98,0,0,4.91,22.58,3.93,3.93,0,0,1.96,0,0,0,0.98,1.96,27.49,0.98,0.98,7.85,20.61,0,1.96,0,0,0,0,0,0,8.83,0,0,0,17.67,0,0
 84-94,0,0,0,0,3.19,0,0,5.31,28.68,3.19,0,0,0,3.19,0,0,0,0,2.12,23.36,0,0,10.62,12.74,0,0,1.06,0,1.06,0,0,0,10.62,0,1.06,0,4.25,0,0
 96-106,0,0,1.09,0,0,0,0,6.56,38.25,2.19,5.46,0,0,7.65,0,0,2.19,2.19,6.56,10.93,0,0,8.74,15.3,0,0,0,0,1.09,0,0,0,6.56,0,0,1.09,10.93,0,1.09
108-118,0,0,0,0,1.53,0,0.77,5.36,26.81,1.53,0.77,0.77,0,4.6,0.77,0.77,0.77,3.06,9.96,14.55,0,0,8.43,9.19,0,0,0,0,0,0,0,0,14.55,0,0.77,0.77,10.72,0.77,1.53
120,0,0,0,0,1.96,0,0,1.96,23.52,0,0,0,0,1.96,0,0,1.96,3.92,1.96,9.8,0,0,7.84,3.92,0,0,0,0,0,0,0,0,3.92,0,0,0,3.92,0,0
