stage,axial,blastomeres,endoderm,eye,heart,immune,mesenchyme,neural,paraxial.mesoderm,spinal.cord,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0.82
 36-46,0,0,0,0,0,1.61,0,0,0,0,0
 48-58,0,0,0,0,0,1.15,0,0.57,0,0.57,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,0,0,8.83,0,3.93,0,0,0
 84-94,0,0,0,0,0,10.62,0,0,0,0,0
 96-106,0,0,0,1.09,1.09,5.46,0,0,0,0,0
108-118,0,0,0,0.77,0,4.6,1.53,0.77,0,0,0
120,0,0,0,0,0,5.88,0,1.96,0,0,0
