stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,7.89,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,89.38,0,0,0,23.66,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.17,0,0,0,18.88,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,13,1,1,1,0,0,0,1,0,1,5,0,0,0
 24-34,0,0,0,9.03,0,0.82,0,0,0,1.64,0,0,0,0,0,0,0,0,0,14.78,0,4.1,104.25,0.82,0.82,0.82,0,0,1.64,0,0,0,19.7,0,6.57,0
 36-46,0,0,0,4.83,0,15.31,0.81,0,0,4.03,0,0,0.81,0,0.81,0,0.81,0,0,10.47,0.81,4.03,66.06,0,1.61,3.22,0,0,0.81,0,0.81,0,12.89,0,0.81,0
 48-58,0,0,0,1.15,0,13.77,0,0.57,0.57,8.03,0.57,0,0,0,0,0,0,0,0,16.07,0,2.3,37.3,1.15,0,0.57,0.57,0,0,0,0,0,12.05,0.57,0.57,0
 60-70,0,0,0.98,4.91,0,9.82,0,0,0.98,15.7,0,0,0,0.98,0,0,0,0,0.98,25.52,1.96,0.98,52.02,0.98,1.96,0.98,0,0,0,0,0.98,0,8.83,0,0.98,0.98
 72-82,0,0,0,1.96,0.98,12.76,0,0,0.98,22.58,1.96,0,0,0,0,0,0.98,0,0,28.47,0.98,1.96,35.34,0,1.96,0,0,0,0.98,0,0,0,5.89,0,2.94,0
 84-94,0,0,0,3.19,0,9.56,0,2.12,0,4.25,0,0,0,0,0,0,0,0,0,19.12,1.06,0,13.81,1.06,1.06,1.06,0,0,0,0,0,0,2.12,0,1.06,0
 96-106,0,0,0,0,0,2.19,0,0,0,5.46,0,0,0,0,0,0,0,1.09,0,9.84,1.09,0,10.93,0,1.09,2.19,0,1.09,1.09,0,0,0,2.19,1.09,2.19,0
108-118,0,0,0,0.77,0,6.89,0,0,0,6.13,0.77,0,0,0,0,0.77,0.77,0,0,4.6,0,0,13.02,0.77,1.53,0.77,0,0,1.53,0,0.77,0,2.3,0,2.3,0.77
120,0,0,0,5.88,0,11.76,0,1.96,0,15.68,0,0,3.92,0,0,0,0,0,0,19.6,0,3.92,50.95,1.96,3.92,3.92,0,0,0,0,0,0,1.96,0,0,1.96
