stage,axial,blastomeres,endoderm,epidermis,eye,iridophores,melanocytes,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,spinal.cord,vasculature
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0
 10-12,0,0,3.15,0,0,0,0,0,6.29,0,0,18.88,0,0
 24-34,0,0,0,0.82,0,0,0,0,1.64,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,1.61,0,0.81,0,0,0
 48-58,0,0,0,0,0,0,0,0.57,1.72,0,0,0,0.57,0
 60-70,0,0,0,0,0.98,0.98,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0
 96-106,0,0,0,0,2.19,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0.77
