stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,8,0,1,0,0,0,0,0,0,0,0,1,0,0,7,0,0,1,40,0,0,0,0,0,0,2,1,3,0,15,0,0,0,0,0
 24-34,0,0,0.82,0,4.93,1.64,4.1,0.82,0,2.46,0,0,0,0,0,0,0.82,0.82,18.88,0.82,0,5.75,117.38,0.82,0,1.64,0,0.82,0.82,0,0.82,0.82,0.82,36.12,0,0,1.64,0,0
 36-46,0,0,0,0,1.61,0,0.81,0,0,7.25,0,0,0,0.81,0,0,0.81,0,16.92,0,0,2.42,117.63,0.81,0.81,0,0,0,0,0.81,2.42,0,0,37.87,0,0,3.22,0,0
 48-58,0.57,0,0,0,4.02,0,3.44,0.57,0.57,20.66,0,0.57,0.57,0,0,0,0,0,32.13,0.57,1.15,2.87,60.25,0.57,0,1.15,0,0,0,0,0.57,0,0,22.95,0,0,4.59,0,0
 60-70,0,0,0,0,3.93,0,0.98,1.96,0.98,8.83,0,0,0,0.98,0,0,0,0,22.58,0,1.96,0.98,24.54,0,0.98,0,0,0,0,0,0,0,0,5.89,0,0,0,0,0
 72-82,0,0,0,0,2.94,0,5.89,0.98,1.96,17.67,0,0,0,0.98,1.96,0,0,0,55.95,0,1.96,2.94,16.69,0,0,1.96,0,0,0,0,1.96,0,0,3.93,0,0,3.93,0.98,0.98
 84-94,0,0,0,0,11.68,0,8.5,3.19,0,12.74,0,0,0,2.12,0,0,1.06,0,39.3,0,1.06,0,11.68,0,0,4.25,0,0,1.06,0,0,0,0,2.12,4.25,0,6.37,2.12,0
 96-106,0,0,0,0,12.02,0,10.93,1.09,1.09,7.65,1.09,0,0,8.74,0,0,0,0,30.6,0,1.09,2.19,12.02,0,0,4.37,0,0,1.09,0,0,0,0,0,2.19,0,6.56,2.19,0
108-118,0,0,0,0,14.55,0,9.96,2.3,0,11.49,2.3,0,1.53,2.3,0.77,0,0,0.77,25.28,0,0,0.77,15.32,0,0.77,0.77,0,0.77,0,0,0.77,0,0,0,6.13,0,1.53,0,0
120,0,0,0,0,9.8,0,9.8,1.96,0,5.88,0,0,0,1.96,0,0,3.92,0,11.76,0,0,3.92,5.88,0,0,0,0,0,0,0,0,0,0,0,1.96,1.96,0,0,0
