stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,31.47,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,8,0,0,0,0,6,0,0,0,1,0,3,0,0,23,0,1,0,1,0,3,2,0,5,19,0,0,0,0
 24-34,0,0,4.1,0,1.64,1.64,0,0.82,0,0,0,0,0,4.93,0,0,65.67,0,0.82,0,0,0.82,0,0.82,0,0,16.42,0,0.82,0,0
 36-46,0,0,0,0.81,13.7,0,0,3.22,0,0,0,0,0,5.64,0,0.81,101.51,0.81,3.22,0,0,0.81,0,0.81,0,0,18.53,0,0,0,0
 48-58,0,0,1.15,0,29.84,0.57,0.57,6.31,0.57,0,0.57,0.57,0,6.31,0,1.15,72.87,0,0.57,0,0,0.57,0,0,0,0,16.64,0,0,0,0
 60-70,0,0,1.96,0,74.6,3.93,0,6.87,0,0,0,0,0,9.82,0.98,0.98,68.71,0,2.94,0,0,0.98,0,0,0,0,8.83,0.98,0,0,0
 72-82,0,0,0,0,53.01,0,0,3.93,0,0,0.98,1.96,0,5.89,1.96,0,37.3,0,5.89,0,0,0,0,0,0,0,0.98,0,0,0.98,0
 84-94,0,0,2.12,1.06,33.99,0,2.12,9.56,0,0,0,0,0,4.25,0,1.06,25.49,0,3.19,0,0,1.06,0,0,0,0,2.12,0,1.06,0,1.06
 96-106,0,0,0,1.09,37.16,1.09,1.09,7.65,1.09,0,2.19,1.09,1.09,5.46,0,1.09,20.76,0,5.46,1.09,0,5.46,0,0,0,0,2.19,0,1.09,1.09,0
108-118,0,0,3.83,2.3,36,3.06,0.77,3.83,0.77,0,1.53,0,0.77,11.49,0.77,0,21.45,0,5.36,0,0,1.53,0,0,0.77,0,0.77,0,0.77,0.77,0.77
120,0,0,0,1.96,50.95,3.92,0,5.88,0,0,1.96,0,0,5.88,0,0,19.6,1.96,5.88,1.96,0,0,0,0,0,0,3.92,0,0,0,0
