stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,35,0,2,1,0,0,0,1,2,0,2,19,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,4.93,0,0,0,0.82,0,0,0,0,0,0,0,0,0,1.64,0,0,1.64,187.16,0,16.42,1.64,0,0,1.64,0,4.1,0.82,0.82,36.12,0,0,0.82,0,0
 36-46,0,0,0,1.61,0.81,0,11.28,0,0,0,8.86,0,0,0,0,0,0,0,0.81,0,1.61,0,0,1.61,586.53,0,13.7,1.61,0,0,0.81,0,3.22,0,0,86.21,0,0,0.81,0,0
 48-58,0,0,0,2.87,0,0,50.49,0,0.57,0,12.05,0.57,0,0,0.57,0,0,0.57,0,0,5.16,0,0,1.72,730.45,0,8.61,3.44,0,0,1.72,0,0,0.57,0,115.33,0,0,0.57,0,0.57
 60-70,0,0,0,0.98,0,0,179.62,0,0,0.98,36.32,0,0,0,0,0.98,0,0.98,0,0,7.85,0,0,1.96,1213.16,0,10.8,4.91,0,0,2.94,0,0,0,0,151.15,0,0,0,0,0.98
 72-82,0,0,3.93,3.93,1.96,0,261.12,1.96,0,0.98,71.66,0,0,0,0.98,0,0,0.98,0,0.98,35.34,0,0.98,2.94,1062.16,0,17.67,11.78,0,0,3.93,0,0,0,0,108.96,0.98,0.98,0,0.98,0
 84-94,0,0,1.06,1.06,1.06,0,208.16,0,0,0,40.36,0,1.06,0,0,1.06,1.06,1.06,0,1.06,27.61,1.06,1.06,3.19,572.44,1.06,12.74,5.31,0,0,4.25,0,1.06,0,0,66.91,0,1.06,1.06,1.06,2.12
 96-106,0,0,0,4.37,2.19,0,172.67,0,0,1.09,61.2,1.09,0,1.09,0,1.09,1.09,5.46,0,0,15.3,0,3.28,4.37,449.16,0,19.67,15.3,0,2.19,3.28,0,1.09,0,0,31.69,1.09,2.19,2.19,1.09,1.09
108-118,0,0,1.53,8.43,1.53,0.77,108,0,0,1.53,49.02,1.53,0,0,0,0,0,0.77,0,0,17.62,0,0,3.06,533.88,0.77,8.43,9.19,0,0.77,0.77,0,0,0,0,10.72,0.77,0,0.77,0,0.77
120,1.96,0,1.96,5.88,1.96,0,127.39,0,0,1.96,35.28,3.92,0,0,1.96,0,0,3.92,0,1.96,7.84,0,0,7.84,560.5,0,9.8,5.88,0,0,1.96,0,0,0,0,11.76,0,0,0,1.96,0
