stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,698.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,263.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,183.89,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,5.26,0,0,0,7.89,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,55.2,5.26,0,0,18.4,0,60.46,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,34.62,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,210.85,9.44,0,0,37.76,0,31.47,3.15,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,21,1,0,0,0,0,0,2,2,0,1,0,12,0,0,2,1,2,0,0,5,51,1,0,2,0,0,227,0,4,1,7,21,0,0,0,0,0
 24-34,0,0,2.46,0,10.67,0.82,0,22.16,0.82,2.46,0,4.1,1.64,0,0,0,26.27,0,0,0,0.82,13.95,7.39,0,1.64,128.05,0,25.45,4.1,0,0,429.31,0,4.93,0,2.46,40.22,0,0,2.46,0,4.1
 36-46,0,0,0,0,4.03,0,0,9.67,0,0.81,0,4.03,1.61,0,4.83,1.61,10.47,0,2.42,0.81,0,9.67,8.06,1.61,5.64,111.18,1.61,20.14,3.22,0,0,370.61,0,3.22,0,0,37.87,0,0,3.22,0,4.03
 48-58,0,0,0,0.57,8.61,0.57,0,23.53,1.15,1.72,1.15,6.89,0.57,2.3,1.72,2.87,6.31,0.57,0.57,0,0.57,10.9,4.02,1.72,2.87,76.89,1.15,11.48,1.72,0,0,325.35,0,1.72,1.72,0,35,0,0,1.72,0,10.33
 60-70,0,0,0.98,0,13.74,0.98,0,68.71,0.98,8.83,1.96,13.74,3.93,0,0,6.87,7.85,1.96,2.94,3.93,0,11.78,3.93,0.98,3.93,75.58,1.96,20.61,4.91,0,0,333.72,0,5.89,0,0,19.63,0.98,1.96,2.94,0,9.82
 72-82,0,0,2.94,0.98,35.34,2.94,0,243.45,0,6.87,1.96,16.69,23.56,0,0.98,3.93,23.56,0,4.91,0,0,35.34,15.71,0.98,1.96,153.14,1.96,26.5,11.78,0,0.98,438.8,0,4.91,0.98,0,26.5,10.8,0,6.87,0,6.87
 84-94,0,0,3.19,0,59.47,5.31,0,221.97,0,33.99,1.06,8.5,43.54,0,0,15.93,37.17,1.06,6.37,4.25,0,15.93,10.62,1.06,3.19,72.22,1.06,22.3,13.81,0,0,1082.22,0,7.43,0,0,15.93,38.23,0,6.37,0,7.43
 96-106,0,0,3.28,0,99.45,6.56,0,224.03,0,39.34,1.09,16.39,86.33,0,0,9.84,39.34,3.28,7.65,9.84,0,34.97,18.58,1.09,0,133.33,1.09,32.79,24.04,0,0,1005.42,0,6.56,0,0,8.74,49.18,0,2.19,1.09,13.11
108-118,0,0,3.06,0,91.92,3.83,0.77,173.87,1.53,51.32,0.77,22.98,117.96,0,0,13.02,59.75,0.77,4.6,26.04,0.77,17.62,21.45,0,3.83,123.32,0.77,20.68,18.38,0,0.77,897.71,0,7.66,1.53,0,5.36,72,0,7.66,2.3,14.55
120,0,0,0,0,54.87,3.92,0,146.98,0,35.28,0,27.44,101.91,0,0,11.76,19.6,3.92,9.8,31.36,0,7.84,7.84,0,0,127.39,0,17.64,9.8,0,0,544.82,0,5.88,0,0,11.76,23.52,0,3.92,1.96,3.92
