stage,axial,blastomeres,epidermis,eye,fast_muscle,glial,gut,liver,mesenchyme,muscle,neural,periderm,presomitic_mesoderm,spinal_cord,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0
 14-21,0,0,1,1,0,0,1,0,0,0,10,0,1,2,0
 24-34,0,0,0,0.82,0,0,0,0,1.64,0,12.31,0,0,1.64,0
 36-46,0,0,0.81,4.83,0,0.81,0,0,0,0,12.89,0.81,0,4.83,0
 48-58,0,0,0,0,0,0.57,0,0,1.15,0,5.74,0,0,2.87,0
 60-70,0,0,0,2.94,0,1.96,0,0,1.96,0,1.96,0,0,3.93,0
 72-82,0,0,0.98,1.96,0,2.94,0,0,1.96,0.98,4.91,0,0,0,0
 84-94,0,0,0,2.12,0,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,2.19,0,2.19,0,0,2.19,1.09,1.09,0,0,0,0
108-118,0,0,1.53,0.77,0.77,0,0,0,0.77,0,1.53,0,0,0,0.77
120,0,0,0,0,0,3.92,0,0,3.92,0,1.96,0,0,0,0
