stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,heart,immune,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,pericytes,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 24-34,0,0,0,0,0,0,0,0,6.57,0,0,3.28,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,35.45,0,0,14.5,0.81,0,0,0.81,0.81,0,0,0.81,0
 48-58,0,0,0.57,2.3,1.15,0,0,0,90.09,0,0,16.64,0.57,1.15,0,0,0,1.15,0,1.72,0
 60-70,0,0,0,1.96,3.93,0,0,0,219.86,0,0.98,18.65,6.87,0.98,0,0,0,0,1.96,0.98,0
 72-82,0,0,8.83,4.91,8.83,0.98,0,0,327.88,0,1.96,27.49,6.87,0,2.94,0.98,0,0.98,9.82,2.94,4.91
 84-94,0,0,12.74,0,12.74,0,1.06,1.06,266.57,0,1.06,10.62,8.5,0,4.25,1.06,0,0,8.5,2.12,7.43
 96-106,0,1.09,2.19,0,18.58,0,0,0,216.38,1.09,0,9.84,5.46,0,4.37,1.09,0,0,5.46,1.09,8.74
108-118,0.77,0,5.36,0.77,14.55,0,0,0,165.45,0,1.53,10.72,6.13,0,3.83,0.77,0,1.53,4.6,1.53,6.13
120,3.92,0,5.88,1.96,17.64,0,0,0,107.79,0,1.96,1.96,7.84,1.96,0,0,0,1.96,9.8,1.96,1.96
