stage,blastomeres,endoderm,epidermis,eye,glial,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,5.26,5.26,0,10.51,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,3.15,0,6.29,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,2,4,0,0,0,1,2,2,3,0
 24-34,0,0,0,0.82,0,0,0,0,2.46,0,0,0,0.82,0,0,0,0
 36-46,0,0,0.81,0,0.81,0.81,0,0,0,0,0,0,0,0,0,3.22,0
 48-58,0,0,0,0.57,0,0.57,0,0,1.15,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,1.96,0.98,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,2.94,0,0,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,1.06,1.06,1.06,0,0,1.06,0,1.06,0,2.12,0,0,0,0
 96-106,0,0,2.19,0,1.09,2.19,1.09,0,2.19,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77
120,0,0,1.96,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0
