stage,blastomeres,endocrine.pancreas,eye,glial,gut,immune,ionocyte,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0,1.64,0,0,0,0,0,8.21,1.64,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0.81,1.61,0,0,0.81,0,0,0,0,0,4.03,1.61,0,0,0
 48-58,0,0,0,0,1.72,0,0,0,0,0,1.72,0,0.57,0,0,0,0,0,2.3,0,0,0,0
 60-70,0,0,0,0,1.96,0,0,0,0,0.98,1.96,0,0,0,0,0,0.98,0,2.94,0,0,0,0
 72-82,0,0.98,0,0,4.91,0,0,0,0,0,0.98,0,2.94,0,0,0,0,0,4.91,0,3.93,0,6.87
 84-94,0,0,1.06,0,18.05,0,1.06,0,0,0,1.06,0,0,1.06,1.06,0,0,0,13.81,0,3.19,0,4.25
 96-106,0,0,1.09,0,10.93,0,0,0,0,1.09,1.09,1.09,1.09,0,0,0,0,0,9.84,0,0,0,9.84
108-118,0,0,0.77,0.77,16.09,1.53,0,0,0,0.77,0,0,2.3,0,0,0,0.77,0,9.96,0.77,0.77,0.77,2.3
120,0,0,0,0,31.36,1.96,0,1.96,0,0,0,0,3.92,0,0,0,0,0,7.84,0,0,0,3.92
