stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,10.51,2.63,0,0,15.77,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,181.38,2.63,0,0,49.95,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,15.73,0,0,18.88,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,582.19,3.15,0,0,100.7,0,0,9.44,12.59,0,6.29,3.15,0,0,0,0,0
 14-21,0,0,2,247,8,46,0,8,0,3,10,0,0,0,1,0,0,0,1,25,0,0,12,470,5,0,30,7,0,6,152,1,12,163,104,0,0,1,0,4
 24-34,0,0,6.57,228.2,0.82,175.66,0,26.27,1.64,9.85,9.03,0,5.75,0,1.64,0.82,0.82,0.82,0,82.91,3.28,3.28,45.15,756.01,9.03,4.1,27.09,0,2.46,0.82,0.82,1.64,6.57,89.47,107.53,0,0,1.64,0,4.1
 36-46,0,0,0,91.04,0.81,671.93,0,30.62,8.86,15.31,8.06,0,13.7,1.61,0,0.81,0.81,0,1.61,209.47,0,29.81,34.64,573.64,4.83,4.03,22.56,0,2.42,2.42,0.81,0,4.83,4.03,77.34,0,1.61,1.61,0,5.64
 48-58,0,0,0.57,84.35,0.57,879.64,0,26.4,8.03,20.08,2.3,0,10.33,1.15,0,1.15,6.89,0,2.87,228.95,0,36.72,25.25,246.16,4.59,1.15,18.94,0,2.3,0.57,0,0,2.3,0,31.56,0,2.3,2.87,1.15,3.44
 60-70,0,0,0,75.58,0,539.84,0.98,27.48,6.87,14.72,1.96,0,5.89,0.98,0.98,0,6.87,0,0,210.05,0.98,29.45,11.78,113.86,0,0,23.56,0,3.93,0.98,0,0,1.96,0,15.7,0.98,4.91,0,0,0.98
 72-82,0,0,0,99.15,1.96,253.27,0.98,39.27,6.87,22.58,0.98,0,19.63,5.89,1.96,0.98,8.83,0.98,0.98,334.75,0,56.94,25.52,103.07,0,0,51.05,0,9.82,2.94,0,0,0,0,7.85,8.83,17.67,1.96,17.67,7.85
 84-94,0,0,1.06,124.26,1.06,245.33,0,60.54,3.19,22.3,1.06,0,12.74,14.87,4.25,3.19,10.62,0,1.06,187.98,0,53.1,12.74,67.97,1.06,6.37,58.41,0,7.43,4.25,0,1.06,0,0,2.12,21.24,24.43,2.12,22.3,4.25
 96-106,0,0,0,186.88,2.19,165.02,0,106.01,2.19,19.67,7.65,0,17.49,14.21,4.37,1.09,12.02,1.09,1.09,179.23,1.09,38.25,8.74,68.85,0,16.39,81.96,0,14.21,3.28,0,1.09,0,0,2.19,89.61,20.76,4.37,26.23,15.3
108-118,0.77,0,0,190.72,2.3,108.77,0,108.77,6.13,22.98,3.83,0,8.43,22.98,9.96,11.49,9.96,0,2.3,103.41,0,28.34,6.13,64.34,0,11.49,62.81,0,10.72,6.13,0,3.06,0,0,3.06,87.32,13.02,0.77,10.72,49.79
120,0,0,0,146.98,0,48.99,0,101.91,0,13.72,1.96,0,9.8,7.84,1.96,1.96,11.76,1.96,1.96,80.35,1.96,13.72,7.84,64.67,0,5.88,56.83,0,3.92,3.92,0,0,0,0,1.96,37.24,5.88,1.96,7.84,11.76
