stage,blastomeres,endoderm,epidermis,eye,iridophores,liver,melanocytes,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  5-6,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,7.89,0,0,0,0,21.03,5.26,10.51,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,22.03,0,12.59,0,3.15,6.29,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0.82,0.82,0,0,0.82,0,3.28,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,1.61,0,0,0,0,0,0
 48-58,0,0,0,1.15,0,0,0,0.57,0.57,0,0,0,0,0,0,0,0,0
 60-70,0,0,0.98,1.96,0.98,0,0,0,0.98,0,0,1.96,0,0,0,0.98,0.98,0.98
 72-82,0,0,0,0.98,0,0,0,0,0.98,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,3.19,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0,0,1.96,0,1.96,0,0,0,0
