stage,blastomeres,endocrine.pancreas,epidermis,eye,fast.muscle,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,otic,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0
 48-58,0,0,0.57,4.59,0,1.15,0,0,0,0,0.57,1.72,0,6.31,0,0,0,0,2.87,0,0,0,0.57
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,4.91,0,1.96,0,0.98,0,0.98,0,7.85,0,26.5,2.94,1.96,0,0,2.94,0.98,0,0,0
 84-94,0,0,2.12,6.37,0,1.06,0,2.12,1.06,0,1.06,2.12,0,6.37,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,2.19,0,0,0,1.09,0,0,0,2.19,0,4.37,0,0,0,0,0,0,0,0,0
108-118,0,0.77,0.77,2.3,0,0,0.77,0,0,0,0,6.89,0.77,6.89,0.77,0,0,0,0,0,0.77,0,0
120,0,0,5.88,7.84,1.96,5.88,0,0,0,0,0,0,0,3.92,0,1.96,0,0,1.96,0,0,0,0
