stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,527.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,36.78,373.91,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,42.91,0,0,0,18.39,6.13,0,0,0,0,0,0,0,0,0
  7-9,21.03,13.14,0,18.4,0,0,7.89,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,197.15,26.29,0,0,205.04,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,0,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,3.15,0,0,40.91,0,0,53.5,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,67,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,2,0,0,1,4,2,0,0,2,9,0,0,0,0
 24-34,0,0,0,0,2.46,22.98,3.28,0,0.82,0,0,0,0.82,0,0,0,0,0,4.93,0,3.28,112.46,0.82,0,0,0,1.64,0,0,0,1.64,21.34,0,0.82,0,0
 36-46,0,0,0,0,1.61,7.25,8.86,0,0,1.61,0,0,0,0,0,0,0,0,1.61,0.81,0,540.6,0,2.42,0,0,4.03,0,0,0.81,0,40.28,0,0.81,0,0
 48-58,0,0,0,0,3.44,0,48.77,0.57,1.72,13.77,0,0,1.15,0.57,0,0,0.57,0,12.62,0,0,1251.47,1.72,0,0,0,2.3,0,0,0,0,127.96,0,0.57,0,1.15
 60-70,0,0,0,0,0.98,0.98,108.95,0,0,23.56,0.98,0,0,0.98,0,0,0.98,0,22.58,0.98,0,1570.44,0.98,0,0,0,0,0,0.98,0,0,141.34,0,0.98,0,0.98
 72-82,0,0,1.96,0,8.83,3.93,189.46,0,1.96,35.34,0,0,0.98,2.94,0.98,0.98,0.98,0,23.56,1.96,2.94,1170.14,0,0.98,4.91,0,1.96,0,0,0,0,76.57,0,0.98,0,2.94
 84-94,0,0,0,0,10.62,2.12,126.38,0,0,18.05,1.06,0,1.06,1.06,0,2.12,0,0,14.87,3.19,2.12,579.87,1.06,0,4.25,0,3.19,0,0,0,0,39.3,0,1.06,1.06,0
 96-106,0,0,1.09,0,7.65,2.19,113.66,0,3.28,17.49,1.09,0,0,1.09,0,1.09,0,0,19.67,0,1.09,429.49,0,3.28,1.09,0,6.56,0,0,0,0,16.39,0,0,1.09,2.19
108-118,0,0,0,0,7.66,0.77,70.47,0,0.77,13.79,0.77,0,0,2.3,0,2.3,0.77,2.3,7.66,0.77,0.77,500.94,0.77,0.77,0,0,2.3,0,0,0,0,11.49,0.77,2.3,0,0
120,0,0,0,0,5.88,1.96,72.51,0,1.96,29.4,0,0,0,0,0,0,0,0,1.96,0,0,595.77,1.96,0,3.92,0,3.92,0,0,0,0,19.6,0,0,0,0
