stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,glial,gut,hatching.gland,heart,immune,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,23,3,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,1,2,0,0,0
 24-34,0,0,0,8.21,0,0,4.93,0,0,0.82,0,0,0,0,0,0.82,0,0,44.33,0.82,0.82,0,0,0,0,1.64,22.16,0,0,0
 36-46,0,0,0.81,0,0,0,4.83,0,0,0,0,0,0,0,0,0,0,0,86.21,0.81,0.81,0.81,0,0,1.61,0.81,36.26,0,0,0
 48-58,0,0,0,1.72,0,0,24.67,0,1.72,0,0,0,0,0,0.57,1.15,0,0,230.67,0,0,0,0,0,0,0,40.74,0.57,0,0.57
 60-70,0,0,0,3.93,0,0,59.87,0.98,4.91,0,0,0,0,0,0,5.89,0,0,403.41,0,1.96,0.98,0,0,0,0,41.22,0.98,0,0.98
 72-82,0,0,0.98,1.96,0,0,169.83,0,7.85,0,0,0,0,0,0,10.8,0.98,0,536.97,0,0.98,1.96,0,0,0,0.98,36.32,0.98,0,0
 84-94,0,0,1.06,5.31,0,0,84.96,0,9.56,0,0,1.06,1.06,0,1.06,4.25,0,0,226.21,0,0,1.06,0,0,0,0,19.12,0,0,0
 96-106,0,0,2.19,9.84,0,1.09,91.8,0,18.58,0,0,0,0,2.19,0,5.46,0,0,214.2,0,1.09,0,0,1.09,0,2.19,7.65,0,0,1.09
108-118,0,0,0.77,3.83,0.77,0,64.34,0,12.26,0.77,0,0,0,0,0,5.36,0,0.77,251.24,0,0.77,0.77,0,0,0,0,3.06,0,0,0
120,1.96,0,0,7.84,0,0,88.19,0,11.76,0,0,0,0,1.96,0,7.84,0,1.96,358.64,1.96,0,1.96,0,0,0,0,11.76,1.96,1.96,0
