stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,0,2,0,0,19,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,2,48,0,0,1,0,0,2,1,0,24,22,0,0,0,0
 24-34,0,4.1,0.82,2.46,0,0,39.4,0,0,0,3.28,0,0,0,0,0.82,0,0,0.82,2.46,0,0,2.46,117.38,0,0,0.82,0,0,0,0.82,0,0,58.28,0,0.82,0,0
 36-46,0,2.42,0,0,0,0,29,0.81,0,0,7.25,0,0,0,0,0,0,0,0,3.22,0,0.81,0.81,213.5,0,0.81,0.81,0,0,0,0,0,0,75.73,0,0,0,0
 48-58,0,1.72,0,3.44,0,0,67.14,0,2.87,0,10.33,0.57,0,0,0,0,0,0,1.15,12.05,0,0,1.15,353.46,0,0.57,0,0,0,0,0,0,0,86.07,0,0.57,0,1.15
 60-70,0,0,0,10.8,0.98,0,76.56,0,1.96,0,9.82,0,0,0,0.98,0.98,0,0,0,13.74,0,0,0,439.72,0,0,0.98,0,0.98,0,0.98,0,0,85.39,0,6.87,0,1.96
 72-82,0,0,0,14.72,0,1.96,74.61,0,0,0,12.76,0,0,0.98,6.87,0,0,0.98,0.98,15.71,0.98,0.98,1.96,334.75,0,0,2.94,0,0.98,0,0,0,0,54.97,0.98,4.91,0.98,0
 84-94,0,1.06,0,21.24,1.06,6.37,69.03,0,9.56,0,13.81,0,0,0,7.43,0,1.06,0,3.19,10.62,0,0,1.06,132.75,0,0,1.06,0,0,0,0,0,0,29.74,1.06,3.19,0,0
 96-106,0,3.28,0,25.14,0,8.74,56.83,0,6.56,0,5.46,1.09,0,0,10.93,0,0,0,0,7.65,1.09,1.09,1.09,113.66,1.09,1.09,0,0,2.19,0,0,0,0,7.65,0,3.28,1.09,1.09
108-118,0,1.53,0,35.23,0.77,23.74,32.94,0,12.26,0.77,5.36,1.53,0,0.77,13.79,0.77,0,0,9.96,3.06,0,0,1.53,108.77,0.77,0,0.77,0,0.77,0,0.77,0.77,0,8.43,0.77,4.6,0,0
120,0,1.96,0,43.12,1.96,5.88,33.32,0,3.92,1.96,1.96,0,0,0,9.8,0,0,0,5.88,7.84,0,0,0,92.11,0,0,0,0,1.96,0,0,0,0,5.88,0,3.92,0,0
