stage,axial,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,liver,mesenchyme,muscle,neural,otic,pericytes,periderm,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,3,0,0,0,0,0,0,0,0,1,1,5,0,0,0,1,2,0,0
 24-34,0,1.64,0,0,2.46,0,0.82,0,0,0,2.46,0.82,13.13,0,0,0.82,0,2.46,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.61,0,4.83,0,0,0.81,0,4.03,0,0.81
 48-58,0.57,0,0,0,0,0.57,0,0,0,0,1.72,0.57,2.3,0,0,0,0,0,0,0
 60-70,0,1.96,0,0,0,0,0,1.96,0.98,0.98,2.94,0,0.98,0,0,0,0,0,0,0
 72-82,0,0.98,0,0,0.98,0,0,0,0.98,0,0.98,0.98,0.98,0.98,0,0,0,0,0,0
 84-94,0,0,1.06,0,0,0,0,1.06,0,0,2.12,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,2.19,0,0,4.37,0,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0.77,0.77,0,1.53,1.53,0,0,1.53,2.3,0,0,0,0,0,0,0.77,0
120,0,1.96,0,0,0,0,1.96,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0
