stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,159.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,10.51,7.89,0,2.63,0,0,0,13.14,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,97.26,13.14,0,0,65.72,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,44.06,6.29,0,0,12.59,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,2,2,4,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,19,1,1,0,0,0,0,4,1,2,4,0,0,0,0,0
 24-34,0,0,3.28,1.64,5.75,0.82,0,13.95,0,1.64,0.82,3.28,1.64,0,0,0,5.75,0,1.64,0.82,1.64,5.75,0.82,0,2.46,104.25,0.82,4.93,7.39,0,0,3.28,0,2.46,5.75,22.16,0,0,2.46,0,4.93
 36-46,0,0,0.81,0,12.09,0,0,13.7,0.81,0.81,0.81,8.86,1.61,0,0,0,0.81,0,3.22,1.61,2.42,20.14,0,1.61,2.42,115.21,0,10.47,8.06,0,0,8.06,0.81,2.42,0,45.12,0,0,2.42,0,2.42
 48-58,0,0,1.15,0,10.33,0,0,19.51,0,1.15,1.15,28.12,5.16,0.57,1.15,1.15,1.72,0.57,2.87,1.72,2.87,49.35,0.57,4.02,13.77,100.99,0,8.61,8.61,0,0.57,5.16,0,5.16,0,34.43,0,0.57,4.59,0,6.31
 60-70,0,0,2.94,0,16.69,0,0,39.26,0,1.96,2.94,68.71,20.61,0,0.98,1.96,1.96,0.98,2.94,2.94,0.98,63.8,0.98,4.91,7.85,145.27,0.98,8.83,10.8,0,0,5.89,0,4.91,0,32.39,0.98,2.94,6.87,0,6.87
 72-82,0,0,19.63,1.96,10.8,6.87,1.96,244.43,0,0,7.85,123.69,109.95,1.96,0,10.8,3.93,0.98,12.76,23.56,0,123.69,0.98,5.89,9.82,257.2,0,25.52,20.61,0,0,5.89,0,10.8,0,19.63,2.94,8.83,9.82,5.89,7.85
 84-94,0,0,13.81,2.12,37.17,8.5,2.12,206.04,1.06,3.19,5.31,75.4,230.46,1.06,0,15.93,4.25,2.12,6.37,95.58,1.06,88.15,3.19,10.62,8.5,135.94,1.06,21.24,26.55,0,1.06,20.18,0,21.24,0,14.87,2.12,3.19,20.18,2.12,6.37
 96-106,0,0,31.69,0,42.62,4.37,0,259,0,2.19,12.02,116.93,356.27,1.09,4.37,24.04,5.46,5.46,14.21,161.74,1.09,116.93,2.19,6.56,9.84,238.24,1.09,28.41,54.64,0,3.28,22.95,1.09,21.86,0,9.84,3.28,5.46,12.02,3.28,9.84
108-118,0,0,15.32,4.6,51.32,11.49,3.83,187.66,0.77,2.3,10.72,121.02,392.94,0,0,19.92,7.66,3.83,8.43,340.09,1.53,104.94,2.3,6.89,11.49,273.45,1.53,24.51,39.06,0,2.3,19.15,0,22.98,0,9.19,7.66,0,9.96,2.3,16.09
120,0,0,7.84,0,48.99,13.72,1.96,145.02,0,0,11.76,82.31,170.5,0,1.96,15.68,9.8,5.88,3.92,146.98,0,90.15,1.96,5.88,7.84,252.81,5.88,17.64,23.52,0,5.88,23.52,1.96,25.48,0,7.84,0,5.88,15.68,1.96,1.96
