stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,461.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0
  5-6,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,10.51,0,0,0,0,0,0,0
 10-12,9.44,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.97,0,0,0,15.73,0,0,0,0,0,0,0
 14-21,0,1,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29,0,1,2,0,5,0,7,0,0,0,0
 24-34,0,0.82,2.46,3.28,0.82,0,9.85,0,0.82,0.82,0.82,0,0,2.46,0,0,0,0,0.82,0,1.64,52.53,0.82,3.28,4.93,0,4.1,0.82,14.78,0,1.64,0,0
 36-46,0,0,0,1.61,0,0,11.28,0,0,0.81,0.81,0,0,0,0,3.22,0,0.81,0,0,1.61,30.62,0,5.64,0,0,4.83,0.81,10.47,0,0,0,0.81
 48-58,0,0,0,1.72,0,0,5.16,0,0.57,6.31,1.72,0.57,0.57,0.57,0,0.57,0,1.15,0,0,0,13.77,0,1.72,1.15,0,2.87,0.57,5.16,0,1.72,0,0
 60-70,0,0,0,2.94,0,0,2.94,0,0,5.89,0,0,0,0.98,0,0.98,0,0,0,0,0,11.78,0,0.98,0.98,0,3.93,0,2.94,0.98,0,0,0
 72-82,0,0,0,0.98,0,0,15.71,0.98,0,16.69,0.98,0,0.98,0,0,0.98,0,4.91,0,0.98,0.98,18.65,0,3.93,6.87,0,2.94,0.98,0.98,0,0.98,0,0
 84-94,0,1.06,0,4.25,0,1.06,10.62,0,0,10.62,3.19,1.06,1.06,2.12,0,0,0,3.19,0,0,0,12.74,2.12,4.25,4.25,0,12.74,0,9.56,1.06,1.06,0,0
 96-106,0,1.09,0,10.93,0,1.09,19.67,0,1.09,29.51,7.65,0,7.65,2.19,2.19,12.02,4.37,12.02,1.09,0,2.19,43.71,1.09,7.65,12.02,0,8.74,2.19,6.56,1.09,5.46,1.09,0
108-118,0,0,0.77,6.13,0,0,3.83,0,0.77,13.02,0,0,2.3,2.3,0,3.06,0,6.13,0,0,0.77,17.62,0,2.3,2.3,0,2.3,0,0,0,0,0,0
120,0,0,0,0,0,0,1.96,0,1.96,5.88,0,0,0,0,0,1.96,0,0,0,0,0,5.88,0,0,1.96,0,5.88,0,0,0,3.92,0,0
