stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,1,0,0,0,0,13,0,9,0,0,0,0,0,0,0
 24-34,0,0,0.82,4.1,0.82,0,4.1,0,0,0,0.82,0,0,0,0,57.46,0,0,0,0,2.46,12.31,0,2.46,12.31,0.82,1.64,0.82,0,21.34,0,54.18,1.64,4.1,0,0,0.82,0,1.64
 36-46,0,0,0,7.25,0,0,0.81,0,2.42,0,0,0,0.81,0,0,30.62,0,0,1.61,0.81,4.83,2.42,0,2.42,5.64,0.81,0.81,0,0,32.23,0.81,24.17,0.81,4.03,0,0,0,0,4.03
 48-58,0,0,0,5.74,0,0,4.02,0.57,0.57,1.72,0.57,0.57,1.15,0,0,9.18,0,0.57,0.57,1.72,6.31,5.16,0,0,8.03,0,0.57,0,0,13.2,0,16.64,0.57,8.61,0,0,1.72,0,13.77
 60-70,0,0,0,5.89,0,0,6.87,0,1.96,0.98,0.98,2.94,0,0,0.98,8.83,1.96,0,1.96,0,10.8,3.93,0.98,0,8.83,0,0,1.96,0,25.52,0,24.54,1.96,2.94,0.98,0.98,2.94,0.98,4.91
 72-82,0,1.96,0,12.76,0.98,0,23.56,0,1.96,0.98,4.91,4.91,0,0,0.98,18.65,1.96,0.98,0.98,2.94,12.76,3.93,0,0.98,13.74,0.98,2.94,4.91,1.96,25.52,0,40.25,0,4.91,0.98,0.98,4.91,0,7.85
 84-94,0,0,0,12.74,0,0,8.5,0,5.31,1.06,5.31,18.05,2.12,0,7.43,26.55,4.25,0,5.31,1.06,12.74,9.56,2.12,0,7.43,0,3.19,7.43,0,73.28,0,93.46,1.06,2.12,0,0,3.19,0,16.99
 96-106,0,1.09,0,27.32,1.09,1.09,26.23,0,3.28,2.19,7.65,27.32,0,0,13.11,25.14,3.28,2.19,3.28,2.19,13.11,14.21,0,1.09,14.21,0,5.46,13.11,0,71.04,0,79.78,0,3.28,1.09,1.09,3.28,0,9.84
108-118,0,0.77,0,27.57,0.77,1.53,18.38,0.77,4.6,0.77,2.3,37.53,0,0,8.43,19.15,3.83,0,16.85,4.6,13.79,9.19,0.77,1.53,12.26,0,3.06,16.09,0,42.13,0,64.34,1.53,1.53,3.06,0,7.66,0,16.09
120,0,1.96,0,21.56,1.96,0,13.72,0,5.88,0,5.88,47.03,0,1.96,11.76,7.84,3.92,1.96,7.84,3.92,17.64,3.92,5.88,0,21.56,0,0,11.76,0,50.95,0,50.95,0,0,5.88,0,1.96,0,1.96
