stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.23,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,3,2,9,0,0,1,0,0,1,0,0,0,1,0,3,0,0,3,80,0,0,0,0,0,2,2,0,6,30,0,0,1,0,0
 24-34,0,0,0,0.82,4.93,0,23.8,0.82,0,2.46,0,0,1.64,3.28,0,0,0,0.82,10.67,0,0,3.28,174.84,0,4.1,1.64,0,0,0.82,0,0,0,59.92,0,0,5.75,0,2.46
 36-46,0,0,0,0,0.81,0.81,32.23,0,0,5.64,0,0,0.81,1.61,0,0,0,2.42,6.45,0.81,0,4.03,145.02,0,7.25,0.81,0,0,0.81,0,0.81,0,52.37,0,0,1.61,0,0.81
 48-58,0,0,0,0.57,2.87,0,49.35,0.57,0,12.05,0,0,0.57,0.57,0.57,1.15,1.15,3.44,17.79,0,0.57,4.59,138.86,0,1.72,0.57,0,0,0,0,0,0,33.28,0,0,1.72,0,5.16
 60-70,0,0,0,0,3.93,0,103.06,0,0,20.61,0.98,0.98,2.94,4.91,0,0,0.98,3.93,21.59,0,0,3.93,186.49,0,0.98,0.98,0,0,0.98,0,0,0,23.56,0,0,1.96,0,0
 72-82,0,0,0,0,4.91,0,95.22,0.98,0.98,22.58,1.96,0,1.96,5.89,0,0,0,1.96,36.32,0,0.98,0.98,180.63,0,6.87,0,0,0.98,0,0,0,0,12.76,0,0,2.94,0.98,2.94
 84-94,0,0,0,0,6.37,0,52.04,1.06,0,12.74,2.12,0,0,15.93,1.06,0,1.06,6.37,26.55,0,1.06,6.37,90.27,0,4.25,1.06,0,0,0,0,1.06,0,11.68,0,0,4.25,0,4.25
 96-106,0,0,0,0,6.56,0,45.9,2.19,1.09,14.21,3.28,0,0,12.02,0,2.19,1.09,5.46,15.3,0,1.09,4.37,79.78,0,9.84,3.28,0,1.09,1.09,0,0,0,4.37,0,2.19,3.28,0,6.56
108-118,0,0,1.53,0,8.43,0,37.53,2.3,0,16.85,3.83,0,0,15.32,0.77,0,1.53,5.36,15.32,0,0,4.6,81.96,0,4.6,2.3,0,0.77,2.3,0,0,0,6.13,1.53,0.77,3.83,0,4.6
120,0,0,1.96,0,25.48,3.92,35.28,1.96,5.88,19.6,0,0,0,27.44,0,0,1.96,3.92,31.36,0,1.96,9.8,150.9,1.96,1.96,3.92,0,0,0,0,0,0,7.84,0,1.96,3.92,3.92,1.96
