stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,18.88,0,0,0,0,6.29,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,1,0,2,0,3,50,0,0,0,0,1,3,0,71,77,41,0,0,0
 24-34,0,0,0,2.46,0.82,0,4.93,2.46,0,0,7.39,0,0,0.82,0,2.46,0,0.82,0,4.1,140.37,0,0,0.82,0,0,0,0.82,20.52,5.75,64.03,0,2.46,0
 36-46,0,0,0,2.42,0,0,3.22,8.06,0,0.81,13.7,0,0,0,0,0.81,0.81,0,0,6.45,240.09,0,0,0.81,0,0.81,0,0,6.45,0,29.81,0,0,0
 48-58,0,0,0,1.72,0,0,13.77,13.2,0,0.57,25.25,0,0,0,0,2.3,0,6.31,0.57,2.87,219.19,0.57,0,0,0,0.57,0,0,4.02,0,26.4,0,0,0.57
 60-70,0,0,0,0,0,0,8.83,9.82,0,0,57.91,0,0,0,0,0.98,0,8.83,0,1.96,170.78,0,0,0,0,0,0,0,4.91,0,15.7,0,0,0
 72-82,0,0.98,0,0,2.94,0,14.72,2.94,0,0.98,71.66,0.98,0,0,0,3.93,0,13.74,1.96,1.96,105.04,0,0.98,0,0,0.98,0,0,1.96,0,10.8,1.96,0,0
 84-94,0,0,0,3.19,0,0,19.12,3.19,0,0,50.98,0,0,0,0,4.25,0,12.74,0,6.37,57.35,0,1.06,0,0,2.12,0,0,4.25,0,8.5,0,0,0
 96-106,0,0,0,1.09,1.09,2.19,18.58,6.56,1.09,0,52.46,1.09,0,0,1.09,5.46,0,18.58,0,3.28,40.44,0,0,0,0,2.19,0,0,2.19,0,5.46,0,0,0
108-118,0,0,0.77,3.06,0,0.77,11.49,3.83,0.77,0,47.49,1.53,0,0,0,2.3,0,8.43,0,6.89,39.83,0,0,0,0,2.3,0,0,6.89,0,2.3,1.53,0,0.77
120,0,0,0,0,1.96,1.96,13.72,3.92,0,0,60.75,1.96,0,0,0,1.96,0,13.72,0,5.88,35.28,0,0,0,0,0,0,0,1.96,0,1.96,0,0,0
