stage,axial,blastomeres,epidermis,eye,gut,lateral.line,mucous,neural,periderm,presomitic.mesoderm
  3-4,0,118.6,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,6.13,0,0
  7-9,2.63,0,0,0,0,0,0,5.26,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,3.15,0
 14-21,0,0,1,0,0,0,0,1,0,1
 24-34,0,0,0,0,0,0,0,0,1.64,0
 36-46,0,0,0,0,0,0,0,0,1.61,0
 60-70,0,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,0,0,0,0.98,2.94,0
 84-94,0,0,1.06,0,1.06,0,0,0,1.06,0
 96-106,0,0,0,0,1.09,1.09,0,0,4.37,0
108-118,0,0,0,0,1.53,0,0,0,3.83,0
120,0,0,0,0,1.96,0,1.96,0,0,0
