stage,axial,blastomeres,eye,glial,mesenchyme,neural,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,232.93,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,36.8,0,7.89,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.82,0.82,0,0,0.82,0,0.82,0,0
 36-46,0,0,0,0,0,0.81,0,0,0.81,0,0.81,0,0
 48-58,0,0,1.15,0.57,0.57,1.15,0.57,0,0,0,0,0,0
 60-70,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0.98
 72-82,0,0,0,0.98,0,0,0,0,0,0,0.98,0,0.98
 84-94,0,0,0,0,0,0,0,0,0,1.06,0,0,1.06
 96-106,0,0,1.09,1.09,1.09,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0.77,0,0,0,0,0,0,0,0,0
