stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,22.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,9.85,0,0.82,0,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,472.93,0,0,0,0.81,0,0,0,0,0,0,0.81,0.81,0,1.61,0,0,0.81,13.7,0.81,0,0,0,0.81,0,0,4.83,0,0,0,0,0
 48-58,0,9.18,0.57,0,2007.74,0.57,2.87,1.15,19.51,0,0,0.57,0,0,1.72,1.15,0.57,0.57,25.82,0,0.57,8.61,186.49,0,0.57,1.72,0.57,4.02,0,0.57,30.99,0,0,2.3,0,0
 60-70,0,7.85,0.98,0,4004.61,0.98,2.94,0,25.52,1.96,0,0,4.91,0.98,0,0,0.98,0.98,38.28,0,1.96,3.93,156.06,0,0,0,0,5.89,0.98,0,19.63,0,0.98,3.93,0,1.96
 72-82,1.96,30.43,6.87,0.98,4040.52,2.94,4.91,4.91,63.81,2.94,0.98,1.96,1.96,2.94,1.96,0.98,1.96,0.98,53.99,0.98,2.94,7.85,223.82,0.98,0.98,4.91,1.96,1.96,0.98,1.96,19.63,0,3.93,4.91,5.89,4.91
 84-94,0,69.03,1.06,0,2840.95,4.25,8.5,6.37,87.09,6.37,0,0,6.37,0,5.31,2.12,1.06,0,71.16,2.12,8.5,7.43,189.04,3.19,3.19,4.25,0,11.68,1.06,2.12,11.68,1.06,5.31,9.56,4.25,2.12
 96-106,1.09,41.53,8.74,2.19,2162.74,1.09,5.46,1.09,54.64,4.37,0,6.56,7.65,1.09,3.28,1.09,3.28,0,44.81,0,1.09,3.28,137.7,1.09,5.46,2.19,0,13.11,1.09,1.09,2.19,3.28,3.28,5.46,2.19,2.19
108-118,0,13.02,6.13,0,1456.1,0,0,0,21.45,2.3,0,0,1.53,1.53,0.77,0,5.36,0,28.34,0,2.3,3.06,121.79,1.53,2.3,2.3,0,7.66,1.53,0.77,3.06,1.53,0.77,1.53,3.83,1.53
120,0,15.68,1.96,0,1209.19,0,1.96,3.92,45.08,0,0,1.96,1.96,0,1.96,1.96,1.96,0,33.32,1.96,1.96,5.88,125.43,5.88,1.96,3.92,1.96,1.96,0,0,0,0,0,0,0,1.96
