stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal.cord,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,16.11,0,0,0,0,0.81,0,1.61,0
 48-58,0,0,0,0.57,0,1.15,0,0,0,0,34.43,0.57,0.57,0,0,0,0,0,0
 60-70,0,0,0,8.83,0.98,0,0,0,0,0,106,0,1.96,0,0,0,0,0,0
 72-82,0,0.98,0.98,19.63,0,0.98,0.98,0,0.98,0.98,90.31,0,0,0,0,0.98,0,0.98,0
 84-94,0,1.06,1.06,10.62,0,2.12,0,0,3.19,0,67.97,0,0,0,1.06,0,0,3.19,0
 96-106,0,0,0,10.93,0,1.09,0,1.09,2.19,0,71.04,0,0,0,0,0,0,3.28,1.09
108-118,0,1.53,0,6.89,0,2.3,0.77,0.77,0.77,0,66.64,0,0,0,0,0,0,0,0
120,0,0,0,7.84,0,0,0,0,1.96,0,70.55,0,0,1.96,0,0,0,0,0
