stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,448.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.89,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,9.44,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.26,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,6,1541,2,53,0,29,0,30,7,0,7,0,9,0,1,0,0,24,11,0,8,357,3,24,86,9,0,5,1,1,0,1,1,249,0,0,1,0,1
 24-34,0,0,6.57,1304.34,2.46,39.4,1.64,136.26,0.82,93.58,4.93,0.82,5.75,0,9.85,0,11.49,3.28,1.64,46.79,21.34,0,12.31,442.44,0.82,40.22,49.25,0,0.82,3.28,0,0.82,8.21,15.6,5.75,317.67,0,0,12.31,0,1.64
 36-46,0,0,1.61,377.05,0.81,19.34,8.06,78.15,0.81,65.26,1.61,0,3.22,1.61,0,0.81,6.45,1.61,1.61,37.06,8.06,0.81,3.22,298.1,0.81,9.67,24.17,0,0,0.81,0,0,5.64,2.42,0,170,0,0,8.86,0,0
 48-58,0,0,0,126.24,0.57,25.25,5.16,60.82,0,47.63,13.2,0,1.72,0.57,0,0,4.02,4.02,0,67.14,3.44,0.57,2.87,271.98,0,4.59,22.38,0,0,2.3,0,0,4.02,10.33,0,85.5,0,0.57,5.16,0,0
 60-70,0,0,0,72.63,0,52.02,5.89,46.13,1.96,31.41,29.45,0,0,0,1.96,1.96,1.96,0.98,0,127.6,0,0.98,1.96,346.48,0,6.87,8.83,0,0,0.98,0,0,5.89,1.96,0,59.87,0,7.85,0.98,4.91,0.98
 72-82,0,0,0,51.05,0,104.06,2.94,22.58,1.96,59.88,60.86,0,1.96,0,3.93,2.94,0.98,0,0,112.89,0,2.94,2.94,309.22,0,12.76,16.69,0,0.98,0,0,0,5.89,0.98,0,20.61,0.98,8.83,4.91,15.71,0
 84-94,0,0,2.12,67.97,0,75.4,6.37,32.92,0,49.92,77.53,0,0,3.19,4.25,0,3.19,1.06,0,92.4,1.06,4.25,5.31,160.37,0,10.62,13.81,0,1.06,1.06,0,0,24.43,0,0,13.81,1.06,2.12,6.37,21.24,1.06
 96-106,0,0,0,60.11,0,67.76,5.46,21.86,0,41.53,39.34,0,1.09,1.09,1.09,1.09,1.09,0,0,83.06,2.19,2.19,2.19,151.91,0,24.04,6.56,0,2.19,0,1.09,0,13.11,0,0,9.84,0,4.37,4.37,28.41,0
108-118,0,0,5.36,36.77,1.53,45.19,6.13,13.79,3.06,44.43,19.92,0,0,0,1.53,2.3,1.53,0.77,0,70.47,1.53,0.77,3.06,144,0,19.15,11.49,0,1.53,1.53,0,0,14.55,0.77,0,5.36,1.53,1.53,0.77,12.26,0.77
120,0,0,1.96,35.28,0,58.79,5.88,13.72,0,50.95,15.68,0,0,0,0,3.92,3.92,0,0,90.15,0,5.88,3.92,199.9,0,9.8,3.92,0,1.96,1.96,0,0,15.68,0,0,5.88,3.92,0,0,15.68,0
