stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,3,1,0,0,0,0,27,0,0,0,0,0,0,0,0,0,6,0,6,0,0,1,22,1,46,0,0,0
 24-34,0,0.82,0,0,0.82,0,0,30.37,0,0,0,0,0,3.28,0,0,0.82,16.42,1.64,44.33,0,0.82,0,23.8,1.64,41.86,0.82,0,0.82
 36-46,0,0,0.81,0,1.61,0,0,20.95,0,0.81,0,0,0,2.42,0,0,0.81,20.95,0,40.28,0.81,0.81,0,6.45,0,45.92,0.81,0,0
 48-58,0,0,0.57,0,3.44,0,0,26.97,0.57,0,0.57,0,1.15,1.72,0,0,0,13.77,0,21.8,0.57,0,0,1.15,0,34.43,0.57,0,0.57
 60-70,0,0,0,0,9.82,0,1.96,31.41,0,0,1.96,0,1.96,0.98,0.98,0,0,10.8,0,26.5,0.98,0,0,1.96,0,23.56,0,0,0
 72-82,0,0.98,0,5.89,2.94,0,0,21.6,0,0,0.98,0,0,3.93,0,0,0,8.83,0,49.08,0.98,0,0,0,0,14.72,1.96,0.98,0
 84-94,0,0,0,7.43,6.37,0,1.06,27.61,1.06,0,6.37,0,3.19,2.12,0,0,0,9.56,0,44.61,3.19,0,0,7.43,0,12.74,1.06,0,0
 96-106,0,0,0,5.46,3.28,0,0,18.58,0,1.09,2.19,0,4.37,2.19,0,0,0,8.74,0,67.76,4.37,0,0,0,0,3.28,3.28,0,0
108-118,2.3,0,0,6.89,3.06,0.77,0,10.72,0,0,3.83,0.77,4.6,3.06,0,0.77,0,9.19,0,42.13,4.6,0.77,0,0.77,0,5.36,1.53,0,0
120,0,0,0,1.96,5.88,0,0,17.64,0,0,1.96,0,1.96,0,0,0,0,11.76,0,35.28,1.96,1.96,0,3.92,0,5.88,0,0,0
