stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,3.15,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,6.29,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,10,5,13,37,0,13,0,0,0,8,1,7,0,0,0,0,0,0,6,0,0,6,250,2,4,2,1,0,0,5,4,0,4,25,188,0,0,59,0,0
 24-34,0,0,13.13,4.93,15.6,7.39,0,32.83,0,0,0.82,8.21,1.64,18.06,5.75,3.28,0,1.64,0.82,11.49,25.45,0,0,15.6,1269.86,3.28,54.18,14.78,0,0,4.1,0.82,0,2.46,0.82,4.1,496.62,0,0,244.62,0,5.75
 36-46,0,0,4.03,0,3.22,1.61,0,117.63,0,0.81,3.22,20.14,1.61,14.5,3.22,2.42,4.03,2.42,0,66.06,25.78,0,0.81,9.67,2506.44,0,62.84,15.31,0,0,2.42,4.03,0.81,0.81,0,0,613.11,0,0,149.05,0,12.09
 48-58,0,0,0.57,0.57,11.48,1.72,0,465.93,1.15,1.15,1.72,62.54,1.72,19.51,4.59,5.74,4.02,1.72,0.57,79.19,48.2,0,1.15,5.16,3255.19,0,40.17,10.9,0,0,2.87,0.57,0,0,0,0,594.46,0,0,95.25,0,12.62
 60-70,0,0,4.91,0,16.69,0,0,1392.78,0.98,0.98,2.94,91.28,18.65,11.78,15.7,0.98,16.69,0.98,1.96,61.84,106,0,0.98,5.89,4342.25,0,59.87,14.72,0,0,3.93,0,0,0,0,0,593.82,0,0,73.61,0,34.35
 72-82,0,0,23.56,0,44.17,6.87,0.98,2302.98,0.98,0.98,14.72,218.91,43.19,22.58,8.83,5.89,32.39,4.91,1.96,64.79,225.78,0,4.91,9.82,4561.78,0,100.13,26.5,0,0.98,7.85,0.98,0,0.98,0,0,373.03,0.98,4.91,150.19,1.96,22.58
 84-94,0,0,19.12,0,63.72,9.56,2.12,1907.42,2.12,3.19,7.43,192.23,72.22,16.99,12.74,13.81,46.73,7.43,4.25,111.51,195.41,2.12,5.31,8.5,2483.04,3.19,101.96,36.11,0,1.06,14.87,0,0,1.06,0,0,235.77,0,6.37,160.37,4.25,23.36
 96-106,0,0,24.04,0,68.85,8.74,1.09,1715.77,1.09,7.65,10.93,217.48,73.22,39.34,25.14,16.39,49.18,13.11,8.74,69.94,275.4,2.19,6.56,6.56,2206.46,4.37,170.48,57.92,0,0,24.04,2.19,0,2.19,0,0,111.47,3.28,5.46,195.62,6.56,51.36
108-118,0.77,0,16.85,0,41.36,6.13,0.77,1286.05,3.06,1.53,4.6,166.98,55.92,18.38,16.09,24.51,82.72,5.36,3.06,99.58,262.73,3.06,3.06,6.89,2534.57,2.3,106.47,36.77,0,1.53,10.72,1.53,0,5.36,0,0,79.66,3.83,3.06,160.09,3.06,33.7
120,0,0,7.84,0,47.03,3.92,0,1075.92,0,5.88,1.96,150.9,35.28,21.56,23.52,11.76,35.28,5.88,7.84,39.2,201.86,1.96,5.88,11.76,2563.4,3.92,66.63,37.24,0,1.96,3.92,0,0,0,1.96,0,94.07,0,0,115.63,5.88,7.84
