stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,593.01,10740.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434.87,0,0,0,0,0,0,0,0,0
  5-6,404.56,5541.19,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,91.94,6.13,0,0,36.78,0,116.46,0,0,0,0,0,0,0,0,0
  7-9,18.4,23.66,0,23.66,0,0,0,10.51,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,378.53,7.89,0,0,118.29,0,2.63,13.14,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,18.88,0,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,22.03,0,0,0,0,15.73,0,0,0,0,0,0
 14-21,0,0,0,1,1,1,0,3,0,0,0,1,0,0,0,1,0,0,0,0,10,0,0,4,22,0,0,2,0,0,0,0,2,0,1,12,0,0,0,0
 24-34,0,0,0,2.46,4.93,0,0,4.1,0.82,0,0.82,0.82,0,0,0,0,0.82,0,0,0,3.28,0,0,0,25.45,0,0,6.57,0,0,0.82,0,0,0,0,9.03,0,0,0,0.82
 36-46,0,0,0,0,4.83,0,0,4.03,0.81,0,0.81,0.81,0,0,0,0,0.81,0,0,0.81,2.42,0,0.81,0,31.42,0,0,4.83,0,0,0,0,0,0,0,0.81,0,0.81,0,0
 48-58,0,0,0,0,3.44,0,0,5.74,2.87,0,0,0,0,0,0,0,1.72,0,0,0,3.44,0,0,0,17.21,0,0,2.87,0,0,0,0,0,0,0,1.15,0,0,0,0
 60-70,0,0,0,0,4.91,0,0,4.91,0.98,0.98,7.85,0,0,0,0,0,4.91,0,0,0,5.89,0,0,0,21.59,0,0,2.94,0,0,0.98,0,0,0,0,2.94,0,0.98,0,0
 72-82,0,0,0.98,0,17.67,0,1.96,16.69,1.96,1.96,12.76,9.82,0.98,0,0.98,0,8.83,0,0.98,0,10.8,0.98,0,0,11.78,0,0,6.87,0,0,0.98,0,0,0,0,0.98,0.98,11.78,0.98,0
 84-94,0,0,1.06,0,29.74,0,3.19,9.56,8.5,0,3.19,16.99,0,0,1.06,0,16.99,0,1.06,0,9.56,0,0,1.06,13.81,0,3.19,11.68,0,0,12.74,0,0,0,0,0,1.06,5.31,0,0
 96-106,0,0,0,0,100.54,1.09,7.65,8.74,2.19,0,21.86,68.85,0,0,4.37,0,37.16,0,1.09,0,10.93,4.37,0,1.09,19.67,0,1.09,8.74,0,0,13.11,0,0,0,0,3.28,1.09,6.56,0,0
108-118,0,0,0,0,99.58,0,9.96,9.19,12.26,2.3,12.26,93.45,0,0.77,3.83,1.53,49.02,0.77,0,2.3,8.43,0.77,0,0,13.02,0,1.53,8.43,0,0.77,6.89,0,0,0,0,0,6.89,3.83,0,0
120,0,0,0,1.96,78.39,0,5.88,7.84,5.88,0,7.84,35.28,0,0,7.84,1.96,27.44,3.92,3.92,0,7.84,0,0,0,17.64,0,1.96,3.92,0,0,3.92,0,0,0,0,1.96,1.96,0,0,0
