stage,blastomeres,endoderm,epidermis,eye,glial,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,79.69,0,0,0,0,0,0,0,12.26,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,23.66,15.77,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,15.73,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,1,0
 24-34,0,0,0.82,0,0.82,1.64,0,0.82,4.93,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0.81,2.42,0,0,0,0.81,0
 48-58,0,0,0,1.15,0,1.15,0,0.57,2.87,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,1.06,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0
120,0,0,0,0,0,0,1.96,0,0,0,1.96,0,0,0
