stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0.82,0,3.28,0,1.64,1.64,0,0,0,1.64,0.82,0.82,0,0,0,0,4.1
 36-46,0,0,0,2.42,0,0,0,0,0,0,0,9.67,0,8.06,0.81,0,0,0,0,0,0,0,0,0,0,17.72
 48-58,0,0,0,2.3,0,0,0,0,0,0,1.72,12.05,0,9.75,4.02,0,0,0,0,0,0,5.74,0.57,0,0,19.51
 60-70,0,0,0,10.8,0,0.98,7.85,0,0,3.93,0.98,16.69,0,10.8,5.89,0,0,0.98,0,0,0,2.94,0,0,0,19.63
 72-82,0,0,0,14.72,0,0.98,21.6,0,0,2.94,0.98,38.28,1.96,7.85,7.85,0,0,1.96,0,0,0,0.98,1.96,0.98,0.98,11.78
 84-94,0,1.06,1.06,20.18,0,0,25.49,0,0,4.25,3.19,22.3,0,4.25,3.19,1.06,0,2.12,1.06,0,0,1.06,4.25,1.06,0,19.12
 96-106,0,0,0,15.3,2.19,0,18.58,0,0,8.74,0,34.97,0,3.28,6.56,0,0,4.37,0,0,0,0,6.56,1.09,1.09,33.88
108-118,0,0.77,0,9.19,0,1.53,19.15,0,0.77,13.79,0,16.09,0.77,2.3,6.13,0,0.77,3.83,0,0,0,0,3.06,0.77,0.77,53.62
120,0,0,0,9.8,0,0,15.68,0,0,5.88,1.96,13.72,0,1.96,3.92,0,0,3.92,0,0,0,1.96,9.8,0,0,33.32
