stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,3,2,0,0,1,0,0,0,0,0,0,0,1,0,13,0,1,2,0,1,0,0,3,0,0,0,0
 24-34,0,0.82,0,1.64,0,0,0.82,0.82,0,0,0,0,0,2.46,0,34.48,0.82,0.82,0,0,0,1.64,0.82,8.21,0,1.64,0,0.82
 36-46,0,0,0,4.03,0,1.61,0,0,0,0,0,0,0,1.61,0.81,46.73,0.81,0,0,0,0,0.81,0,14.5,0,0.81,0,0
 48-58,0,0,0,8.03,0.57,2.87,0,0,0,0,0,0,0.57,3.44,0.57,61.97,0,0,0,1.72,0,0,0,10.9,0,0.57,0,0.57
 60-70,0,0.98,0,9.82,0,2.94,0.98,0,0,0,0,0,0,3.93,0,83.43,0,0.98,0,0,0,0,0,1.96,0.98,0.98,0,0
 72-82,0.98,0,0,14.72,0,1.96,0,0,0,0,0,0,0,4.91,0,58.9,0,0.98,0,0,0,0,0,2.94,0.98,0,0,0
 84-94,0,2.12,0,11.68,0,4.25,0,0,0,0,0,0,0,1.06,0,35.05,0,0,0,1.06,0,0,0,1.06,1.06,0,1.06,0
 96-106,0,5.46,0,5.46,0,2.19,0,0,1.09,1.09,0,0,0,1.09,0,38.25,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0.77,0,3.83,0,2.3,0,0,0.77,0,0,0,0,0.77,0,23.74,0,0,0,0.77,0,0.77,0,0.77,0,0,0,0
120,0,0,0,1.96,0,0,0,0,0,0,1.96,1.96,0,0,0,31.36,0,0,0,0,0,0,0,0,0,0,0,0
