stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,11,72,15,0,35,0,0,0,5,6,0,0,1,1,0,0,0,0,29,0,0,29,347,14,2,2,10,0,19,1,39,3,10,81,108,0,0,0,0,0
 24-34,0.82,0.82,4.93,18.06,1.64,0,66.49,0.82,0.82,3.28,7.39,0.82,3.28,0.82,1.64,3.28,0.82,0,0,0.82,58.28,4.1,2.46,26.27,398.94,4.1,2.46,4.1,0,0,53.36,0,0,0,7.39,29.55,85.37,0,0,3.28,0,1.64
 36-46,0,0,0,12.09,0,0,52.37,4.83,0.81,2.42,8.06,0.81,0,0.81,0,0.81,1.61,0.81,0.81,0,39.48,3.22,0,10.47,219.14,0.81,1.61,0.81,0,0,27.39,0,0,0,4.03,1.61,63.65,0,0,4.83,0,0
 48-58,0,0,0,4.59,0.57,0,80.91,2.3,2.3,2.87,17.21,2.3,0,1.15,0.57,1.15,0,0.57,0,0,52.79,6.31,0.57,9.75,172.72,1.15,1.72,4.02,0,0,16.07,0,0,0,1.15,0,33.85,0,0,2.87,0.57,2.3
 60-70,0,0.98,0,7.85,0,0,63.8,5.89,0,0.98,8.83,0.98,0,0,0.98,1.96,0,0.98,0,0,35.33,0.98,0,1.96,134.47,0.98,2.94,1.96,0,0.98,4.91,0,0,0.98,3.93,0,12.76,0,1.96,0.98,0,0.98
 72-82,0,0.98,0,5.89,0.98,0,37.3,3.93,0,0.98,17.67,6.87,0.98,0,0.98,2.94,0.98,0,0,0,58.9,0.98,3.93,14.72,117.8,0.98,2.94,0,0,0,6.87,0,0,0,4.91,0,6.87,2.94,2.94,4.91,1.96,0.98
 84-94,0,2.12,0,14.87,0,1.06,38.23,4.25,0,2.12,6.37,9.56,0,0,2.12,2.12,5.31,1.06,0,2.12,35.05,3.19,1.06,9.56,66.91,4.25,2.12,2.12,1.06,0,30.8,0,0,0,8.5,0,7.43,3.19,0,2.12,2.12,1.06
 96-106,0,3.28,1.09,12.02,4.37,0,30.6,3.28,0,2.19,13.11,8.74,0,1.09,2.19,1.09,2.19,1.09,0,0,26.23,1.09,0,6.56,43.71,2.19,4.37,3.28,0,0,18.58,0,0,1.09,21.86,0,1.09,3.28,2.19,1.09,1.09,1.09
108-118,0,2.3,0.77,7.66,1.53,4.6,21.45,11.49,1.53,3.06,9.96,6.89,0,0,3.83,3.83,0.77,0,1.53,0,24.51,0.77,0.77,22.21,68.94,2.3,4.6,2.3,0.77,0.77,25.28,0,0,0,32.17,0,0.77,2.3,0,2.3,0.77,1.53
120,0,0,0,7.84,5.88,1.96,21.56,27.44,0,0,11.76,3.92,0,0,0,1.96,3.92,0,1.96,0,21.56,1.96,0,25.48,72.51,11.76,0,3.92,0,0,15.68,0,1.96,0,13.72,0,0,0,0,1.96,0,0
