stage,blastomeres,endocrine_pancreas,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,iridophores,mesenchyme,neural,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0
 14-21,0,0,1,0,0,0,0,2,0,0,0,0
 24-34,0,1.64,0.82,0,0,0,0,2.46,0,0,0.82,0
 36-46,0,1.61,0,0,0,0,0,3.22,0,0,0,0
 48-58,0,1.72,0,0,0,0,0,1.15,0.57,0,0.57,0
 60-70,0,2.94,0,0,0,0,0.98,0.98,0,0,0,0
 72-82,0,22.58,0,0,0,0,5.89,4.91,0,0,1.96,0.98
 84-94,0,23.36,0,0,1.06,0,8.5,5.31,0,0,0,0
 96-106,0,24.04,0,1.09,0,0,17.49,10.93,0,1.09,1.09,0
108-118,0,17.62,0,0.77,0,0.77,9.19,6.89,0,0.77,1.53,0
120,0,9.8,0,0,0,0,9.8,17.64,0,0,0,0
