stage,blastomeres,epidermis,exocrine.pancreas,eye,glial,lateral.line,mesenchyme,neural,notochord,otic,paraxial.mesoderm,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,0.81,0,0.81,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,1.15,0,0,0,0.57,0,0
 60-70,0,0,0,1.96,0.98,7.85,0.98,0.98,0,0.98,0,0,0,0
 72-82,0,0,0,0,0,17.67,0,3.93,0,0.98,0,0,0.98,0
 84-94,0,0,0,1.06,0,42.48,0,1.06,0,1.06,0,0,0,0
 96-106,0,0,1.09,0,0,53.55,0,3.28,1.09,0,0,0,0,0
108-118,0,0.77,0,0.77,0.77,66.64,0,3.83,0,0,0,0,0,0
120,0,0,0,1.96,0,37.24,0,1.96,0,0,0,0,0,1.96
