stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.46,2.63,0,0,13.14,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,47.2,3.15,0,0,31.47,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7,1,1,0,1,0,1,1,0,0,0,0,0,0,5,0,0,1,23,1,1,0,0,0,1,1,0,1,1,5,0,0,0,0,0
 24-34,0,0,0,0.82,0,3.28,0,0,0,0.82,0,0.82,0.82,0,0,0,0,2.46,0,0,2.46,41.86,0,0,0.82,0,0,4.93,0,0,0,0,11.49,0,0,0.82,0,0
 36-46,0,0,0,1.61,0,6.45,0,0,0,1.61,0,0,0,0,0,0,0.81,4.03,0,0,0.81,81.37,0,2.42,0,0,0,2.42,0,0,0,0,13.7,0,0,1.61,0,0
 48-58,0,0,0,1.15,0,14.35,0.57,0,0.57,1.72,0,0,0.57,0,0,0,0,4.59,0,0.57,2.3,63.69,0,0.57,0,0,0,0,0,0,0,0,14.35,0,0,0,0,0
 60-70,0,0,0,1.96,0,27.48,0,0.98,0,1.96,0,0,0,0,0,0,0.98,20.61,0,0,2.94,91.28,0,0.98,0.98,0,0,0.98,0,0,0,0,11.78,0.98,0.98,1.96,0,0.98
 72-82,0,0,0,1.96,1.96,23.56,0,0,0,0,0,0,0,0.98,0,0,0,15.71,0.98,0,1.96,67.73,0,0,0,0,0,0.98,0,0,0,0,6.87,0,0,0,0,0.98
 84-94,0,0,0,0,1.06,13.81,0,0,0,1.06,1.06,0,0,0,2.12,0,0,5.31,0,0,0,37.17,0,0,0,0,0,2.12,0,1.06,0,0,3.19,0,0,2.12,0,0
 96-106,0,0,0,2.19,1.09,10.93,0,0,0,2.19,0,0,0,1.09,1.09,0,1.09,3.28,0,0,2.19,30.6,0,1.09,0,0,0,5.46,0,0,0,0,1.09,0,2.19,0,1.09,0
108-118,0,0,0,3.06,0.77,4.6,0,0,0,3.83,0,0,0,0.77,0,0.77,0,11.49,0.77,0,0.77,22.98,0,1.53,0,0,0.77,1.53,0,0,0,0,0,0,0,0.77,0,0.77
120,0,0,0,1.96,0,3.92,0,0,0,1.96,0,0,0,0,0,0,0,3.92,0,0,0,23.52,0,1.96,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0
