stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8,0,0,0,0
 24-34,0,0,0.82,3.28,0,0.82,0,0,2.46,0,0,0,0,0,0,0,0,0.82,0,0,0,27.09,35.3,0,0,0.82,0,7.39,0,0,0,0.82
 36-46,0,0,0,4.03,0,0.81,0,0,0.81,0,0.81,0,0,0,0.81,0,0,0,0,0,0,11.28,67.68,0,0,0,0,16.92,0,0,0,0.81
 48-58,0,0,0,2.87,0,6.31,0,0,2.3,0,0.57,0,0,0,0,0,0.57,2.3,0,0,0,17.21,57.38,0,0,1.15,0,6.31,0,0,0,0
 60-70,0,0,0.98,9.82,0,3.93,0,0.98,1.96,0,0,0,0,0,0,0,0,3.93,0,0,0,16.69,72.63,0,0,1.96,0,1.96,0,0,0,0
 72-82,0,0,2.94,60.86,0,16.69,1.96,0,3.93,0,0,0,0,0.98,0,0,0,6.87,0.98,0,0,36.32,136.45,0.98,0,1.96,0,1.96,0,0.98,1.96,0
 84-94,0,0,1.06,67.97,0,8.5,0,0,2.12,0,0,0,0,1.06,0,0,0,4.25,0,0,1.06,19.12,175.24,0,0,1.06,0,0,1.06,1.06,0,0
 96-106,0,0,3.28,63.39,0,7.65,0,0,6.56,1.09,0,2.19,1.09,0,0,0,0,7.65,0,1.09,0,22.95,266.65,0,0,2.19,0,1.09,1.09,2.19,0,0
108-118,0,0,0.77,39.06,0.77,6.13,0,0.77,0.77,0,0,0,1.53,0,0,0.77,0,4.6,0,0,0,25.28,179.24,0,0,3.06,0,0,1.53,0.77,0,0
120,0,0,0,56.83,1.96,3.92,0,0,0,0,0,3.92,1.96,0,0,0,0,5.88,0,0,0,33.32,176.38,0,0,0,1.96,1.96,0,0,0,0
