stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,92.25,658.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,0,0,0,7.89,0,0,0,0,0,5.26,0,0,0,0,0,0,0,76.23,2.63,0,0,21.03,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,9,1,3,0,0,0,0,1,0,0,0,0,0,5,0,3,61,0,0,0,0,0,0,14,0,6,13,0,1,0
 24-34,0,0,0,0,1.64,0,9.85,0,0,0,0.82,0,0,1.64,0,0,0.82,7.39,0.82,2.46,81.26,0,1.64,2.46,0,0,0,0,0,0.82,10.67,0,1.64,0
 36-46,0,0,0,0,0.81,0,12.09,0,0,0,4.83,0,0,0,0.81,0,0.81,6.45,0,0.81,43.51,0,0.81,0.81,0,0,0.81,0,0,0,13.7,0,0,0
 48-58,0,0,0,0,1.15,0,18.36,0,0,0,7.46,0,0,0,0,0,0,9.18,1.15,0.57,40.17,0,0,0.57,0,0,0.57,0,0,0,9.75,0,0.57,0
 60-70,0,0,0,0,1.96,0,13.74,0,0,0,7.85,0,0,0,0.98,0.98,0,13.74,0,2.94,20.61,0,0,0,0,0,0,0,0,0,5.89,0,0,0
 72-82,0,0,0,0,0.98,0,14.72,0.98,0,0,7.85,0,0,0,0,0,0.98,12.76,0,0,32.39,0.98,0.98,0,0,0,0,0,0,0,1.96,0,0.98,0
 84-94,0,0,0,0,1.06,0,3.19,0,0,0,1.06,0,0,0,0,0,0,5.31,1.06,0,6.37,0,0,1.06,0,1.06,4.25,0,0,0,1.06,0,2.12,0
 96-106,0,0,0,0,1.09,0,2.19,0,0,1.09,3.28,1.09,0,0,1.09,1.09,1.09,9.84,0,1.09,6.56,0,0,0,0,0,1.09,0,0,0,0,1.09,0,0
108-118,0,0,0.77,0,2.3,0,6.13,0,0.77,0,2.3,0.77,0,0,0.77,0.77,0.77,1.53,0,1.53,11.49,0,0.77,0.77,0,0,0,0,0,0,0.77,0,0.77,0.77
120,0,0,1.96,0,1.96,0,0,0,0,0,3.92,0,0,0,0,0,0,3.92,0,0,7.84,0,0,0,0,0,0,0,0,0,1.96,0,0,0
