stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,1515.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,122.59,1274.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,18.39,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,44.69,28.92,0,73.6,0,0,0,128.81,0,0,0,0,0,47.32,0,0,0,0,0,0,0,0,0,0,0,717.64,36.8,0,0,325.96,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,50.35,0,3.15,0,62.94,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,478.34,34.62,0,0,229.73,0,0,3.15,3.15,28.32,0,0,0,0,0,0,0
 14-21,0,0,1,1,25,1,0,7,0,0,0,5,3,0,2,0,2,0,0,0,1,17,0,0,9,100,5,3,0,4,0,4,0,15,2,15,41,0,0,0,0,0
 24-34,0,0,0,3.28,18.88,1.64,0,22.16,0,0,0,4.93,0,0,2.46,0,0.82,0,0.82,0.82,0,39.4,0,0,13.13,270.88,0.82,3.28,0.82,0,0,19.7,0,0,2.46,4.1,65.67,0,0,6.57,0,1.64
 36-46,0,0,0,0,4.03,2.42,0,57.2,0,0.81,1.61,14.5,0.81,0,2.42,0.81,0,0.81,0,0,2.42,38.67,0.81,1.61,9.67,310.99,0.81,6.45,3.22,0,0,16.92,0,0,0.81,0,77.34,0,0,4.03,0,1.61
 48-58,0,0,0,0,6.31,0,0,95.83,0.57,1.72,1.15,14.92,0,1.15,1.72,0,1.15,0.57,0.57,0,1.15,41.89,0.57,2.87,8.03,226.65,1.15,0,1.15,0,0.57,18.36,0,0,0.57,0,60.25,0,0,2.87,0,2.87
 60-70,0,0,0,0,4.91,0.98,0,166.86,0,2.94,2.94,43.19,0,0,1.96,1.96,1.96,1.96,0,0,1.96,91.28,1.96,7.85,2.94,317.03,1.96,0.98,4.91,0,1.96,23.56,0,0,1.96,0,43.19,0.98,2.94,7.85,0,5.89
 72-82,0,0,0,0,12.76,16.69,0,144.3,0.98,2.94,7.85,38.28,3.93,0,1.96,3.93,3.93,1.96,1.96,0,0,95.22,1.96,3.93,8.83,226.76,0,1.96,2.94,0,0,52.03,0,0,3.93,0,18.65,0,2.94,4.91,2.94,2.94
 84-94,0,0,1.06,0,13.81,8.5,0,76.47,0,2.12,1.06,26.55,8.5,0,2.12,5.31,4.25,5.31,2.12,3.19,1.06,69.03,3.19,3.19,4.25,113.64,0,2.12,5.31,0,1.06,81.78,0,0,6.37,0,10.62,1.06,4.25,9.56,4.25,0
 96-106,0,0,1.09,0,17.49,15.3,1.09,88.52,2.19,5.46,3.28,32.79,4.37,0,3.28,10.93,5.46,5.46,2.19,0,0,62.29,1.09,1.09,1.09,104.91,0,4.37,5.46,0,2.19,78.68,0,0,1.09,0,8.74,1.09,1.09,5.46,3.28,2.19
108-118,0,0,1.53,0,27.57,5.36,1.53,68.94,0.77,9.96,0.77,29.87,4.6,0,0.77,9.19,8.43,4.6,2.3,1.53,0.77,49.79,1.53,6.13,3.06,124.85,0.77,3.06,3.83,0,3.06,52.09,0,0,0.77,0,6.13,2.3,3.06,4.6,3.83,6.13
120,0,0,1.96,1.96,29.4,5.88,0,62.71,1.96,3.92,1.96,23.52,5.88,0,0,1.96,3.92,1.96,0,0,3.92,43.12,1.96,5.88,7.84,105.83,0,1.96,5.88,0,3.92,54.87,0,0,3.92,0,0,1.96,1.96,5.88,3.92,3.92
