stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,17,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,18.06,0,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,2.42,0,0,0,3.22,0,0,0,0,0.81,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,0,0,0.57,0,2.3,0,0,0,2.3,0,0,0,0,0,0,0.57,0,0,0,0,0
 60-70,0,0,0,0,0,2.94,0,0,2.94,0,0,4.91,0,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,2.94,0,0.98,30.43,0,0.98,30.43,0,0,0,11.78,0,0,0,0,0,0,1.96,0.98,0,0,0,0.98
 84-94,0,1.06,0,0,0,1.06,0,0,64.78,0,0,87.09,0,0,1.06,8.5,0,0,0,0,0,3.19,0,0,1.06,0,1.06,0
 96-106,0,0,0,1.09,5.46,3.28,0,1.09,118.03,0,0,142.07,4.37,0,1.09,31.69,0,1.09,0,0,1.09,5.46,0,0,0,0,0,0
108-118,0,0,0,3.06,0,1.53,0.77,3.06,144,0,0,265.02,4.6,0,0,22.98,0,0,0.77,0,1.53,1.53,0,0,0,1.53,0,0
120,0,0,0,0,0,3.92,0,0,84.27,0,0,146.98,1.96,1.96,0,25.48,0,0,0,0,0,3.92,0,0,0,0,0,0
