stage,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0
 24-34,0,0,2.46,0,0,0,0,0,0,0.82,0.82,0,0,0,0,15.6,0,0,0,0,0.82,12.31,0,0,0,0.82
 36-46,0,0,8.06,0.81,0,0.81,0,0,0,0,0,0.81,0,0,0.81,27.39,0.81,0,0,0,0,9.67,0,0,0,0
 48-58,0.57,0,14.35,0,0,1.15,0,0,0,0,0,0.57,0,0,1.15,50.49,0,0,0,0,0,11.48,0,0,0,0.57
 60-70,0.98,0,39.26,0,0,1.96,0,0,0,0,0.98,1.96,0,0,0,89.32,1.96,0,0,0.98,0,11.78,0,0.98,0,0
 72-82,1.96,0.98,84.42,0.98,0,10.8,0,0.98,0,0,0.98,4.91,0,0,0.98,160.99,0.98,0,0,0,0,11.78,0,1.96,0,0.98
 84-94,0,0,49.92,0,1.06,9.56,0,0,0,0,0,3.19,0,0,1.06,86.03,0,0,2.12,1.06,0,9.56,1.06,0,0,1.06
 96-106,1.09,0,43.71,2.19,1.09,8.74,0,0,1.09,1.09,0,6.56,1.09,0,2.19,74.31,0,0,1.09,0,0,3.28,0,2.19,1.09,0
108-118,1.53,0,42.89,1.53,0.77,11.49,0.77,0,0,0.77,0.77,3.06,0,0,0.77,78.89,0,0,0,1.53,0,3.06,0.77,0,0.77,0
120,1.96,0,37.24,0,0,13.72,0,0,0,0,0,1.96,0,1.96,0,99.95,0,0,0,0,0,7.84,0,1.96,1.96,0
