stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,55.2,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,273.79,0,0,59.79,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,4,0,5,6,0,12,0,0,0,0,0,11,0,0,0,0,0,0,36,0,0,7,65,275,0,2,7,0,0,21,0,0,4,56,0,0,2,0,0
 24-34,0,0,3.28,0,28.73,1.64,0,78.8,0,0,2.46,9.03,3.28,20.52,0.82,0.82,0,0,0.82,0,270.88,0,0,22.98,366.1,87.83,6.57,5.75,0,0,0,0,2.46,0,2.46,250.36,0,0,24.63,0,0.82
 36-46,0,0,6.45,0,18.53,0.81,0,78.96,0,0,4.83,23.36,0,14.5,0,0,0,0,0.81,0.81,373.83,0,0.81,17.72,365.77,47.53,12.09,2.42,0,1.61,0.81,0,0,0,0,244.12,0,0,45.92,0,0
 48-58,0,0,2.87,0,24.67,4.02,0,196.24,0,1.15,17.79,44.76,0,6.89,0,0,0,0,1.15,0,453.31,0,1.72,19.51,411.99,15.49,6.31,0,0,1.72,0,0,0.57,0,0,157.8,0,1.72,49.92,0,0.57
 60-70,0.98,0,0,0,44.17,10.8,0,584.99,0.98,0,16.69,71.65,1.96,10.8,0,0.98,0,0,0,0.98,505.48,0,2.94,18.65,702.77,8.83,8.83,0,0,0.98,0,0,1.96,0,0,86.37,0,11.78,45.15,2.94,0.98
 72-82,0,0,1.96,0,75.59,18.65,0,842.27,0.98,1.96,34.36,147.25,10.8,4.91,1.96,0,0.98,0,2.94,0,647.9,0.98,10.8,38.28,955.16,4.91,18.65,7.85,0,5.89,3.93,0.98,0.98,0.98,0,81.48,1.96,8.83,81.48,15.71,1.96
 84-94,1.06,0,2.12,0,103.02,9.56,0,739.18,2.12,1.06,20.18,87.09,8.5,9.56,3.19,3.19,1.06,1.06,3.19,0,415.26,0,8.5,28.68,490.66,6.37,7.43,3.19,0,7.43,3.19,0,9.56,3.19,0,56.29,4.25,9.56,49.92,12.74,0
 96-106,0,0,1.09,0,158.46,10.93,2.19,598.88,3.28,2.19,10.93,83.06,17.49,13.11,6.56,9.84,1.09,1.09,3.28,1.09,393.42,1.09,9.84,25.14,521.29,1.09,24.04,5.46,0,9.84,4.37,0,9.84,2.19,0,56.83,5.46,7.65,60.11,16.39,1.09
108-118,0.77,0,3.06,0,153.19,11.49,2.3,438.9,0.77,3.83,20.68,63.57,16.85,8.43,1.53,17.62,0,0,7.66,0,340.09,0,7.66,20.68,561.45,3.83,19.15,3.83,0,9.96,6.89,0,13.02,1.53,0,22.98,11.49,4.6,47.49,5.36,0.77
120,0,0,1.96,0,111.71,17.64,0,403.72,0,5.88,21.56,66.63,9.8,5.88,0,3.92,0,0,0,0,315.53,3.92,5.88,23.52,742.76,5.88,9.8,5.88,0,5.88,11.76,0,9.8,0,0,39.2,0,5.88,54.87,5.88,0
