stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0.82,0,0,0,2.46,0,2.46,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,1.61,0,1.61,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,1.72,0,0.57,0,0,0,0,0,0,0,0,1.72,0,1.15,0.57,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0.98,0,0,0,0,0,4.91,0,0,0.98,0,1.96,0.98,0
 72-82,0,0,0,0,3.93,0,0,0,0,0,2.94,0,0,1.96,0,0,0,2.94,0,0,0,0,0,7.85,0,9.82,0
 84-94,0,0,0,0,4.25,0,4.25,0,0,0,5.31,0,0,1.06,2.12,1.06,0,2.12,1.06,1.06,1.06,0,1.06,73.28,1.06,7.43,0
 96-106,0,0,1.09,0,6.56,0,3.28,0,0,1.09,6.56,0,0,6.56,1.09,1.09,0,2.19,0,7.65,0,0,0,126.77,0,14.21,1.09
108-118,0,0,0,0,3.83,0,0.77,0,0,1.53,6.89,0,0.77,1.53,0.77,0,0.77,6.13,0,3.06,0,0,0,157.79,1.53,8.43,0
120,0,0,0,0,3.92,0,0,1.96,0,0,5.88,0,0,1.96,0,1.96,0,1.96,0,0,0,0,0,47.03,0,11.76,0
