stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,5,0,0,0,0,0,0,1,0,0,1,3,0,1,0,0
 24-34,0,0,0,0,0.82,0,0,2.46,0.82,0,0,0.82,0,0,1.64,0,0,0.82,0.82,4.1,0.82,0,1.64,51.71,0,1.64,3.28,0,8.21,0,0,1.64,0,0.82,12.31,0,1.64,0,0
 36-46,0,0,0,0,0,0,0,8.86,0,0,2.42,1.61,0.81,0.81,0,0,0,0,0,8.06,0,0,0,70.9,0,1.61,0.81,0.81,1.61,0.81,0,0,0,0,12.89,0,2.42,0,0
 48-58,0,0,0,0,1.72,1.15,0,13.2,0.57,0.57,2.87,0,0,0,0.57,0,0.57,0,0.57,9.75,0,0,0.57,68.86,0.57,0,0.57,0,1.72,0,0,0,0.57,0,16.07,0,0.57,0,0
 60-70,0,0,0,0,0.98,0,0,29.45,0,1.96,11.78,0,0,0.98,0,0,0,0,0,9.82,1.96,0,0,82.45,0,0.98,3.93,0,2.94,0,0,0.98,0,0,10.8,0,1.96,0,0
 72-82,0,0,0,0,1.96,2.94,0,28.47,0.98,0,12.76,1.96,0,0,0,0,0,0,0,12.76,0.98,0.98,0,34.36,0,0,4.91,1.96,0.98,0,0,0,0,0,1.96,0.98,2.94,0,0
 84-94,0,0,0,0,3.19,3.19,0,21.24,0,0,9.56,1.06,0,3.19,1.06,0,2.12,2.12,0,3.19,0,0,0,21.24,0,1.06,8.5,2.12,12.74,0,0,1.06,0,0,4.25,1.06,1.06,1.06,0
 96-106,0,0,0,0,2.19,0,0,8.74,1.09,0,5.46,1.09,0,0,1.09,1.09,2.19,0,0,4.37,0,0,0,14.21,0,1.09,15.3,0,4.37,0,0,0,0,0,0,2.19,0,0,1.09
108-118,0,0,0.77,0,2.3,1.53,0.77,7.66,0,0,3.06,0.77,0,0,0.77,0.77,1.53,0,0,5.36,0.77,0,0,22.21,0,0.77,9.96,0.77,2.3,0,0,0.77,0,0,0,0.77,2.3,0,0
120,0,0,0,0,9.8,1.96,0,9.8,1.96,0,1.96,0,1.96,1.96,0,0,3.92,0,0,1.96,0,0,0,13.72,0,1.96,1.96,0,5.88,0,0,1.96,0,0,0,0,0,0,0
