stage,axial,epidermis,eye,fin.epithelia,glial,ionocyte,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal.cord,vasculature
  7-9,2.63,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,0,0,0,0,2,1,13,1,0,0,1,0
 24-34,0,0.82,0.82,0,0,0,0,2.46,0.82,5.75,0,0,0.82,1.64,0
 36-46,0,0,0,0.81,0.81,0,0,1.61,0,8.86,0.81,0,0,1.61,0
 48-58,0,0,1.15,0,0,0.57,0,1.15,0,8.61,0,0,0.57,0.57,0
 60-70,0,0,0,0,0,0,0,3.93,0,7.85,0,0,0.98,0.98,0
 72-82,0,0.98,2.94,0,1.96,0,0,1.96,0,6.87,0,0,0.98,1.96,0
 84-94,0,1.06,1.06,0,2.12,0,1.06,2.12,1.06,2.12,1.06,0,0,1.06,1.06
 96-106,0,1.09,0,0,0,0,0,0,0,2.19,0,0,0,0,0
108-118,0,0.77,0.77,0,0,0,0,0.77,1.53,3.83,0,0,0,0,0.77
120,0,0,0,0,1.96,0,0,3.92,0,1.96,1.96,1.96,0,0,0
