stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,100.7,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,6,0,12,0,0,0,0,0,0,0,0,0,0,1,152,0,0,2,0,0,1,2,62,0,0,0,0
 24-34,0,0,3.28,0,17.24,0,0,3.28,0,0,0.82,0,0,0.82,0,0,174.84,3.28,0.82,0,0,0,0,0,69.77,0,0,0,0
 36-46,0,0,0.81,0,62.84,0,0,13.7,0,0,0,0,0,3.22,0,0,219.95,2.42,0,0,0,0,0,0,73.32,0,0,0,0
 48-58,0,0,0.57,0,176.16,0,0,32.13,0,0,0,0,0.57,1.72,0,2.3,123.94,0.57,1.72,0,0,0,0,0,36.15,0,0,0,0
 60-70,0,0,0.98,0,592.84,0,0.98,69.69,0,0,0.98,0.98,0,4.91,0,0,50.06,0.98,0.98,0,0,0.98,0.98,0,29.45,0,0,0,0
 72-82,0,0,3.93,0,723.48,0,0,73.62,0.98,0.98,0,0.98,0,8.83,0,0.98,51.05,0,0.98,0.98,0,0,0,0,7.85,0,1.96,0,0.98
 84-94,0,0,1.06,0,515.09,0,1.06,43.54,0,2.12,0,1.06,0,7.43,1.06,0,30.8,1.06,1.06,0,0,1.06,0,0,5.31,1.06,1.06,0,0
 96-106,0,0,3.28,0,378.12,1.09,0,33.88,0,0,1.09,1.09,0,6.56,0,0,19.67,0,2.19,0,0,1.09,0,0,1.09,0,0,1.09,1.09
108-118,0,0,1.53,0.77,238.21,0.77,0,35.23,0,0,0,0.77,0.77,5.36,0,0,26.81,1.53,3.83,0.77,0,0,0,0,0,0,0.77,0,0
120,0,0,0,0,172.46,1.96,0,29.4,3.92,0,0,0,0,3.92,0,0,39.2,0,0,0,0,0,0,0,1.96,0,0,0,0
