stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,6,0,0,0,0
 24-34,0,0,1.64,0,0.82,0,27.09,25.45,1.64,0,0,0,0,0,3.28,19.7,9.85,1.64,0,0,0,33.66,9.03,0,0,0
 36-46,0,0,0,0,1.61,0,78.96,81.37,0,0,0.81,0,0,0,3.22,33.84,8.06,0,0,0,0,0,5.64,0,0,0
 48-58,0,0,0.57,0,4.02,0,106.73,99.84,0.57,0,0,0,0,0,9.75,12.62,6.89,0,0,0,0,0,2.87,0,0,0
 60-70,0,0,0.98,0,1.96,0,100.12,129.56,0,0,0,0,0,0,9.82,1.96,1.96,0,0,0,0,0,3.93,0,0,0
 72-82,0,0,1.96,0,7.85,0,105.04,166.88,0.98,0.98,0,0,0,0,7.85,9.82,8.83,0,0,0.98,0,0,1.96,0,0,0
 84-94,0,0,1.06,0,6.37,0,195.41,150.81,1.06,0,0,1.06,1.06,0,16.99,7.43,4.25,0,0,1.06,0,0,0,0,0,1.06
 96-106,0,1.09,1.09,0,6.56,1.09,149.72,126.77,1.09,0,0,0,0,1.09,13.11,3.28,5.46,0,0,1.09,0,0,0,1.09,2.19,0
108-118,0,0,2.3,0.77,3.06,0,173.11,103.41,0,0,0,0.77,0,0,6.13,1.53,5.36,0,0,1.53,0,0,0,0.77,0,0
120,0,0,1.96,0,3.92,0,113.67,103.87,0,0,1.96,0,0,0,5.88,7.84,1.96,0,0,1.96,0,0,0,0,0,0
