stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.65,0,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,1,0,0,0,32,0,0,0,0,0,0,0,0,0,11,0,0,7,241,0,0,0,0,0,0,0,1,0,2,1,177,0,0,0,0,0
 24-34,0,0,0,4.93,0,0,11.49,0,0,0,109.99,0,0,0,0,0,0.82,0,0.82,0,59.92,0.82,0,37.76,1809.99,1.64,0.82,0.82,0,0,1.64,0,0,0,1.64,1.64,676.39,0,0,2.46,0,0
 36-46,0,0,0,5.64,0,0,27.39,0,0,0,405.25,0,0,2.42,0,0,0.81,0,0,0,110.38,0,1.61,56.4,2530.61,1.61,1.61,0,0,0,2.42,0,0,0.81,0,0,1127.94,0,0,2.42,0,1.61
 48-58,0,0,0,4.59,1.15,0,78.61,0.57,1.72,1.15,750.54,0,0,0.57,1.15,0,0,0,0,0.57,154.35,0,0.57,32.71,1324.34,0,1.72,0,0,0,2.3,0.57,0,0,0.57,0,799.88,0,0.57,1.72,0.57,1.72
 60-70,0,0,0.98,4.91,0,0,51.04,0,0,0.98,912.82,0,0,0,0.98,0,0.98,0,0,0.98,136.43,0,3.93,8.83,646.82,1.96,1.96,1.96,0,6.87,2.94,0,0,0.98,0.98,0,278.75,0,0.98,0.98,0.98,4.91
 72-82,0,0,0,12.76,5.89,0,153.14,0,2.94,0.98,1178.98,1.96,0,0,0,0.98,0.98,0,0,0,174.74,0.98,5.89,8.83,582.13,0,0,4.91,0,8.83,7.85,0,0,0.98,0,0,105.04,1.96,5.89,3.93,3.93,1.96
 84-94,0,0,0,14.87,2.12,0,167.8,3.19,2.12,1.06,853.88,2.12,0,1.06,2.12,0,0,0,0,0,128.51,0,4.25,16.99,409.95,0,3.19,1.06,0,5.31,4.25,0,0,1.06,0,0,89.21,2.12,4.25,3.19,3.19,3.19
 96-106,0,0,0,46.99,5.46,0,160.65,4.37,3.28,2.19,909.25,5.46,0,1.09,2.19,1.09,0,3.28,2.19,0,165.02,0,3.28,17.49,412,2.19,1.09,5.46,0,17.49,9.84,0,0,1.09,0,0,63.39,2.19,5.46,2.19,5.46,2.19
108-118,0,0,0.77,6.89,2.3,0.77,53.62,3.83,0,1.53,848.69,0,0,0.77,3.83,1.53,0,0.77,2.3,0,105.7,0,3.83,6.13,439.66,0,1.53,3.06,0,17.62,3.06,0,0,0,0,0,39.83,0.77,0.77,1.53,2.3,0.77
120,1.96,0,0,21.56,5.88,1.96,88.19,3.92,1.96,1.96,950.5,3.92,0,0,3.92,0,0,1.96,3.92,0,141.1,0,0,13.72,429.19,0,0,7.84,0,13.72,1.96,0,0,0,0,0,47.03,0,0,1.96,1.96,1.96
