stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,158.14,2016.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0,0
  5-6,110.33,1881.8,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,61.3,0,0,0,12.26,0,36.78,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.77,13.14,0,10.51,0,0,13.14,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,249.73,15.77,0,0,97.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,25.18,0,6.29,0,6.29,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.79,15.73,0,0,132.17,0,0,6.29,0,9.44,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,3,24,11,4,0,0,0,96,5,1,1,0,1,0,0,0,0,35,0,21,183,3,0,3,13,0,0,4,30,52,1,13,279,0,0,5,0,0
 24-34,0,0,0,0.82,4.93,0,4.93,0,0,0,95.22,0.82,0,0,0,0,0,0,0.82,0,27.91,0.82,14.78,106.71,0,9.85,6.57,0,0,0.82,0,1.64,38.58,0.82,4.1,221.63,0,0,9.03,0,0
 36-46,0,0,0,0,1.61,0,4.03,0,0,4.03,60.43,0,0,0,0,0,0,0.81,0,0,26.59,0.81,8.86,77.34,0,10.47,2.42,0,0,0.81,0,0,19.34,0,0,143.41,0,0,0.81,0,0
 48-58,0.57,0,0,0,0.57,0,3.44,0,0.57,1.15,60.82,0,0,0.57,0,0,0,2.3,0,0,21.8,0.57,4.59,30.41,0,5.74,2.87,0,0.57,0,0,0,6.31,0,0,136.57,0,0.57,0,0,0
 60-70,0,0,0.98,0,1.96,0,7.85,0,0,3.93,55.95,0,0,0,0,0,0,2.94,0,0,23.56,0.98,0,35.33,0,16.69,6.87,0,0,0,0,0,5.89,0,0,71.65,0,0.98,0.98,0,0
 72-82,0,0,5.89,0,0,0,14.72,0,0,0.98,71.66,2.94,0,0,0,0.98,0,6.87,0,0,24.54,1.96,4.91,37.3,0,34.36,16.69,0,0.98,0,0,0,4.91,0,0,50.06,0,0.98,1.96,2.94,0.98
 84-94,0,0,2.12,2.12,0,0,12.74,0,0,2.12,50.98,2.12,0,0,1.06,1.06,1.06,8.5,0,0,19.12,1.06,5.31,23.36,0,27.61,25.49,0,0,2.12,0,0,12.74,0,0,38.23,1.06,0,1.06,1.06,1.06
 96-106,0,0,5.46,1.09,1.09,0,8.74,0,0,0,40.44,3.28,0,1.09,0,0,0,24.04,0,1.09,21.86,0,5.46,13.11,0,29.51,33.88,0,1.09,1.09,0,0,5.46,0,0,40.44,0,1.09,0,1.09,0
108-118,0,0,3.06,1.53,0.77,0,4.6,0.77,0,1.53,29.11,0,0,0,0,1.53,0,9.19,1.53,0.77,23.74,0.77,4.6,13.79,0,24.51,24.51,0,0,0,0.77,0,7.66,0.77,0,26.81,0,0,0.77,3.06,0
120,0,0,0,1.96,5.88,0,7.84,0,0,0,23.52,0,0,0,0,0,1.96,7.84,0,0,15.68,1.96,1.96,17.64,0,13.72,23.52,0,0,0,1.96,0,7.84,0,0,9.8,0,1.96,0,0,0
