stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vasculature
 14-21,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0
 24-34,0,0.82,0,0,0,0,0.82,0,0,0,0,0,0,0,0,9.85,0,0,0,0.82,0,0.82,0,0
 36-46,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,46.73,0,0,0,0,0,4.03,0,0
 48-58,0,0.57,0,0,2.87,0,0.57,1.15,0.57,0,0,0.57,0,0,0,53.94,0.57,0,0,0,0,5.74,0,0
 60-70,0,0,0,0,8.83,0,0,2.94,0,0.98,0,1.96,0,0,0.98,96.19,0.98,0.98,0,0,0,0.98,0,0
 72-82,0,0.98,0,0,31.41,0,0,10.8,0,0,0,5.89,0,0,0.98,150.19,0,2.94,0,0.98,0,4.91,0,2.94
 84-94,0,4.25,0,0,8.5,0,0,2.12,0,0,0,1.06,0,1.06,0,83.9,0,2.12,0,0,0,2.12,2.12,1.06
 96-106,0,8.74,1.09,1.09,17.49,1.09,0,13.11,0,0,1.09,6.56,1.09,1.09,0,102.73,0,5.46,0,0,0,5.46,5.46,0
108-118,0.77,9.19,0,1.53,19.15,0,0,7.66,0,0,0,1.53,0.77,0,0,107.23,0.77,3.83,0,0.77,0,0,9.96,2.3
120,0,3.92,1.96,0,17.64,0,0,9.8,0,0,0,1.96,0,0,0,166.58,0,3.92,0,0,0,1.96,0,1.96
