stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,hatching.gland,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,39.53,448.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,12.26,196.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,10.51,0,0,5.26,0,0,0,0,34.17,5.26,0,0,15.77,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,56.65,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,1,2,26,0,16,1,0,0,0,0,0,2,66,0,0,0,0,0,1,1,1,5,7,0
 24-34,0,0,0,0.82,0.82,0,0,9.03,0,0.82,0,0,0.82,0,0.82,19.7,0,0,0,0,0,0,0,0,0,2.46,1.64
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0,2.42,0,0.81,4.83,0,0.81,0,0,0.81,0,0,0,0,0.81,0
 48-58,0,0,0,0,0,0,0,0.57,0,1.15,0,0,0,0,0,4.02,0,0,0.57,0,0,0,0,0,0,1.15,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,0,0,0,1.96,1.96,0,0,0,0.98,0.98,0,7.85,0,0,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,1.06,0,0,0,0,1.06,2.12,0,0,0,0,0,0,3.19,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,4.37,0,1.09,0,0,1.09,0,2.19,1.09,0,0,1.09,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0,0.77,0,0.77,6.89,0,0,0,0,0,0,0,7.66,0,0.77,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,3.92,1.96,0,0,0,0,0,0,3.92,0,0,1.96,0,0,0,0,0,0,0,0
