stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,2,1,3,0,1,1,0,0,0,0,0,0,0,1,13,0,0,1,1,14,1,0,0,1,3,0,0,0
 24-34,0,2.46,0.82,2.46,0,0,0.82,0,0,0,0,3.28,0,0,2.46,15.6,0.82,0,0,0,53.36,0,0.82,0,0,4.93,0,0.82,0
 36-46,0,1.61,0,3.22,0,0.81,0,0,0.81,0,0,2.42,0,0,0,12.89,0.81,0,0,0,37.87,0,0,0.81,0,3.22,0,0.81,0
 48-58,0,1.15,0,5.74,0,0,1.15,0,0,0,0,5.16,0,0,0,19.51,0,0,0,0,18.94,0,0,0,0,4.59,0,0,0
 60-70,0,0.98,0,5.89,0.98,0.98,0.98,0.98,0,0,0,6.87,0.98,0,0,19.63,1.96,0,0,0,11.78,0,0,0,0,5.89,0,0,0
 72-82,0,1.96,0,6.87,0,0,0.98,1.96,0,0,0,5.89,0.98,0,0,14.72,0,0,0,0,7.85,0,1.96,0,0,0.98,0,0,0.98
 84-94,0,1.06,0,6.37,0,1.06,1.06,0,0,1.06,0,9.56,3.19,0,1.06,12.74,1.06,0,0,0,36.11,0,0,0,0,0,0,1.06,0
 96-106,0,5.46,1.09,1.09,1.09,2.19,0,2.19,0,0,0,6.56,1.09,0,0,6.56,0,0,0,0,17.49,0,0,0,0,0,0,0,0
108-118,0,1.53,0,3.83,0,0.77,0,1.53,0,0.77,0.77,2.3,0,0.77,0.77,9.19,0,0,0,0,14.55,0,0,0,0,1.53,1.53,1.53,0
120,0,3.92,0,3.92,0,0,3.92,0,0,0,0,0,0,0,0,7.84,1.96,1.96,0,0,7.84,0,0,0,0,0,0,0,0
