stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,1330.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,655.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,0,13.14,0,0,31.54,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,260.24,7.89,0,0,92,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,3.15,31.47,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,251.76,0,0,0,94.41,0,0,0,0,12.59,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,8,57,20,28,1,0,12,2,1,0,0,2,0,0,0,0,50,0,0,23,429,10,7,4,17,0,10,2,28,4,2,31,151,0,0,0,0,0
 24-34,0,0,0.82,1.64,13.95,0,72.24,0,0,16.42,3.28,0,0.82,0.82,0,0,1.64,0,0.82,55.82,1.64,0,18.06,718.25,4.1,2.46,4.1,0,0,27.09,0,0,0,0.82,9.85,186.33,0,0,11.49,0,0
 36-46,0,0,0,0,6.45,3.22,174.83,0,0,9.67,0,0,1.61,0.81,0,0.81,0,0,0.81,41.09,0,0.81,6.45,448.76,1.61,4.83,1.61,0,0,7.25,0,0,0,0,0,109.57,0,0,6.45,0,0.81
 48-58,0,0,0,0.57,7.46,1.72,180.17,0.57,2.3,18.36,0.57,0,2.87,1.15,0.57,0,0.57,0,0,53.94,0,4.59,8.03,180.17,0.57,1.15,0.57,0,0,3.44,0,0,1.15,0,0,35,0,0,4.02,0,0.57
 60-70,0,0,0,0,12.76,1.96,114.84,0.98,2.94,23.56,0,0,0,0,0,1.96,0.98,0,0,35.33,0,2.94,5.89,100.12,1.96,0.98,0.98,0,0,5.89,0,0,0,0,0,9.82,0,0,0.98,0,0
 72-82,0,0,0,0,19.63,4.91,41.23,0,0.98,18.65,1.96,0,1.96,0,0,1.96,0,0,0,58.9,0,3.93,7.85,90.31,0,2.94,2.94,0,0,9.82,0,0,0,0,0,2.94,0,0,7.85,0,0
 84-94,0,0,0,0,10.62,3.19,41.42,0,2.12,16.99,4.25,0,2.12,4.25,3.19,2.12,0,1.06,0,40.36,0,4.25,8.5,67.97,4.25,1.06,6.37,0,0,10.62,0,0,0,0,0,2.12,1.06,1.06,3.19,0,2.12
 96-106,0,0,0,0,12.02,6.56,29.51,0,1.09,15.3,4.37,0,1.09,8.74,4.37,1.09,1.09,3.28,1.09,37.16,2.19,3.28,3.28,57.92,0,3.28,2.19,0,1.09,26.23,0,0,0,0,0,3.28,0,0,2.19,1.09,0
108-118,0,0,0,0,13.02,6.13,31.4,3.06,2.3,19.15,4.6,0,0.77,4.6,0,3.83,0,1.53,1.53,24.51,0.77,0.77,6.89,75.06,2.3,0,0.77,0,1.53,9.19,0.77,0,0,0,0,3.06,0,0,3.06,0,0
120,0,0,0,0,9.8,3.92,29.4,1.96,1.96,13.72,5.88,0,1.96,1.96,0,1.96,0,0,1.96,13.72,0,1.96,0,50.95,0,1.96,5.88,0,0,3.92,0,0,0,0,0,3.92,0,0,5.88,0,1.96
