stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pronephros,spinal.cord,xanthophores
  3-4,13.18,724.79,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0
  5-6,24.52,478.11,0,0,0,0,0,0,0,0,0,0,6.13,0,0,42.91,0,0,0
  7-9,2.63,5.26,10.51,0,0,2.63,0,18.4,0,0,0,0,18.4,0,7.89,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,6.29,0,0,0,0
 14-21,0,0,0,1,0,1,0,0,0,1,0,0,2,0,1,0,0,0,1
 24-34,0,0,0,0,0,0,0,0,0,9.85,0.82,1.64,4.93,0.82,0,0.82,0.82,3.28,42.68
 36-46,0,0,0,0,0,1.61,0,0,0,0.81,0,0,0.81,0,0,0,0,1.61,17.72
 48-58,0,0,0,0,0,0.57,0,0,0,1.72,0,0,0.57,0,0,0,0,0,13.2
 60-70,0,0,0,0,0,0,0.98,0,0,0.98,0.98,0,1.96,0,0,0,0,0,5.89
 72-82,0,0,0,0,0,0.98,0.98,0,0,0.98,0,0,0.98,0.98,0,0,0,0,2.94
 84-94,0,0,0,0,0,0,0,0,1.06,1.06,1.06,0,1.06,0,0,0,0,0,6.37
 96-106,0,0,0,0,0,1.09,1.09,0,0,0,1.09,0,0,0,0,0,0,0,5.46
108-118,0,0,0,0,0.77,0,0,0,0,0,0,0,1.53,0,0,0,0,0,6.13
120,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
